Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:23:11 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:23:12 PM IST  all    7.65    0.08    5.71    0.17    0.00    0.84    0.00    0.00    0.00   85.55
12:23:13 PM IST  all   10.27    0.00    6.06    0.17    0.00    1.09    0.00    0.00    0.00   82.41
12:23:14 PM IST  all   10.13    0.00    5.78    0.17    0.00    1.26    0.00    0.00    0.00   82.66
12:23:15 PM IST  all   10.23    0.00    5.70    0.42    0.00    1.01    0.00    0.00    0.00   82.63
12:23:16 PM IST  all   10.76    0.00    5.59    0.08    0.00    1.10    0.00    0.00    0.00   82.46
12:23:17 PM IST  all    9.48    0.00    6.07    0.33    0.00    1.33    0.00    0.00    0.00   82.79
12:23:18 PM IST  all    9.04    0.08    4.98    0.17    0.00    1.27    0.00    0.00    0.00   84.46
12:23:19 PM IST  all   11.03    0.00    6.02    0.33    0.00    0.75    0.00    0.00    0.00   81.87
12:23:20 PM IST  all   10.58    0.00    5.75    0.33    0.00    1.17    0.00    0.00    0.00   82.17
12:23:21 PM IST  all   11.36    0.00    5.39    0.17    0.00    0.84    0.00    0.00    0.00   82.24
12:23:22 PM IST  all    6.63    0.00    3.86    0.17    0.00    0.50    0.00    0.00    0.00   88.84
12:23:23 PM IST  all    0.08    0.00    0.17    0.17    0.00    0.00    0.00    0.00    0.00   99.58
12:23:24 PM IST  all    0.42    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.33
12:23:25 PM IST  all    0.42    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.33
12:23:26 PM IST  all    1.17    0.00    0.42    0.00    0.00    0.08    0.00    0.00    0.00   98.33
12:23:27 PM IST  all    1.17    0.00    0.50    0.17    0.00    0.00    0.00    0.00    0.00   98.16
12:23:28 PM IST  all    0.84    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:23:29 PM IST  all    0.59    0.00    0.25    0.17    0.00    0.00    0.00    0.00    0.00   98.99
12:23:30 PM IST  all    0.83    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.83
12:23:31 PM IST  all    0.59    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   98.91
12:23:32 PM IST  all    0.59    0.00    0.17    0.17    0.00    0.00    0.00    0.00    0.00   99.08
12:23:33 PM IST  all    0.17    0.00    0.25    0.08    0.00    0.00    0.00    0.00    0.00   99.50
12:23:34 PM IST  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
12:23:35 PM IST  all    0.67    0.00    0.33    0.25    0.00    0.00    0.00    0.00    0.00   98.75
12:23:36 PM IST  all    0.50    0.00    0.17    0.08    0.00    0.00    0.00    0.00    0.00   99.24
12:23:37 PM IST  all    0.42    0.00    0.25    0.33    0.00    0.00    0.00    0.00    0.00   99.00
12:23:38 PM IST  all    0.42    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.33
12:23:39 PM IST  all    0.67    0.00    0.33    0.17    0.00    0.00    0.00    0.00    0.00   98.83
12:23:40 PM IST  all    0.33    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   99.17
12:23:41 PM IST  all    0.25    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.58
12:23:42 PM IST  all    0.59    0.00    0.25    0.33    0.00    0.00    0.00    0.00    0.00   98.83
12:23:43 PM IST  all    0.25    0.00    0.25    0.17    0.00    0.00    0.00    0.00    0.00   99.33
12:23:44 PM IST  all    0.42    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.08
12:23:45 PM IST  all    0.50    0.00    0.42    0.25    0.00    0.00    0.00    0.00    0.00   98.83
12:23:46 PM IST  all    0.08    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.75
12:23:47 PM IST  all    0.42    0.08    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.16
12:23:48 PM IST  all    0.67    0.00    0.50    0.33    0.00    0.00    0.00    0.00    0.00   98.50
12:23:49 PM IST  all    1.00    0.00    0.33    0.08    0.00    0.00    0.00    0.00    0.00   98.58
12:23:50 PM IST  all    0.50    0.00    0.42    0.17    0.00    0.00    0.00    0.00    0.00   98.92
12:23:51 PM IST  all    0.67    0.00    0.33    0.08    0.00    0.00    0.00    0.00    0.00   98.91
12:23:52 PM IST  all    0.50    0.00    0.17    0.17    0.00    0.00    0.00    0.00    0.00   99.17
12:23:53 PM IST  all    0.83    0.00    0.33    0.25    0.00    0.00    0.00    0.00    0.00   98.58
12:23:54 PM IST  all    4.77    0.08    4.35    0.08    0.00    0.42    0.00    0.00    0.00   90.29
12:23:55 PM IST  all    7.29    0.00    3.73    0.17    0.00    0.76    0.00    0.00    0.00   88.04
12:23:56 PM IST  all    7.36    0.00    2.74    0.00    0.00    1.03    0.00    0.00    0.00   88.88
12:23:57 PM IST  all    7.57    0.00    3.49    0.09    0.00    1.19    0.00    0.00    0.00   87.67
12:23:58 PM IST  all    6.95    0.00    2.74    0.09    0.00    1.03    0.00    0.00    0.00   89.19
12:23:59 PM IST  all    7.12    0.00    3.09    0.00    0.00    0.52    0.00    0.00    0.00   89.27
12:24:00 PM IST  all    1.09    0.00    0.76    0.08    0.00    0.00    0.00    0.00    0.00   98.07
12:24:01 PM IST  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
12:24:02 PM IST  all    0.99    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   98.59
12:24:03 PM IST  all    0.50    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.33
12:24:04 PM IST  all    0.50    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.16
12:24:05 PM IST  all    0.58    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:24:06 PM IST  all    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:24:07 PM IST  all    0.42    0.00    0.42    0.25    0.00    0.00    0.00    0.00    0.00   98.91
12:24:08 PM IST  all    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
12:24:09 PM IST  all    0.42    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.17
12:24:10 PM IST  all    0.59    0.00    0.17    0.17    0.00    0.00    0.00    0.00    0.00   99.08
12:24:11 PM IST  all    0.42    0.00    0.42    0.08    0.00    0.00    0.00    0.00    0.00   99.08
12:24:12 PM IST  all    2.02    0.00    2.10    0.08    0.00    0.08    0.00    0.00    0.00   95.71
12:24:13 PM IST  all   10.47    0.00    7.60    0.00    0.00    0.76    0.00    0.00    0.00   81.17
12:24:14 PM IST  all   13.74    0.00    9.04    0.00    0.00    1.28    0.00    0.00    0.00   75.94
12:24:15 PM IST  all   14.68    0.00    8.61    0.42    0.00    0.93    0.00    0.00    0.00   75.36
12:24:16 PM IST  all   14.24    0.00    8.85    0.00    0.00    1.10    0.00    0.00    0.00   75.82
12:24:17 PM IST  all   14.04    0.00    7.95    0.25    0.00    1.02    0.00    0.00    0.00   76.73
