Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

03:46:52 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:46:53 PM IST     all     13.07      0.00      7.59      0.25      0.00     79.09
03:46:54 PM IST     all     14.83      0.00      7.25      0.17      0.00     77.75
03:46:55 PM IST     all     16.65      0.00      7.77      0.17      0.00     75.41
03:46:56 PM IST     all     15.85      0.00      7.88      0.17      0.00     76.09
03:46:57 PM IST     all     15.69      0.00      6.91      0.00      0.00     77.41
03:46:58 PM IST     all     15.32      0.00      7.74      0.60      0.00     76.34
03:46:59 PM IST     all     15.02      0.00      8.10      0.17      0.00     76.71
03:47:00 PM IST     all     14.67      0.00      7.46      0.00      0.00     77.86
03:47:01 PM IST     all     15.50      0.00      7.92      0.00      0.00     76.57
03:47:02 PM IST     all     13.59      0.00      6.92      0.00      0.00     79.49
03:47:03 PM IST     all     17.05      0.00      8.27      0.17      0.00     74.51
03:47:04 PM IST     all     15.04      0.00      7.35      0.09      0.00     77.52
03:47:05 PM IST     all     14.69      0.00      7.64      0.00      0.00     77.67
03:47:06 PM IST     all     13.89      0.00      6.78      0.09      0.00     79.25
03:47:07 PM IST     all     15.26      0.00      8.60      0.17      0.00     75.97
03:47:08 PM IST     all     16.34      0.00      6.69      0.25      0.00     76.71
03:47:09 PM IST     all     16.02      0.00      7.88      0.17      0.00     75.92
03:47:10 PM IST     all     21.06      0.00      8.61      0.43      0.00     69.91
03:47:11 PM IST     all     15.13      0.00      8.03      0.34      0.00     76.50
03:47:12 PM IST     all     16.06      0.00      7.39      0.34      0.00     76.21
03:47:13 PM IST     all     13.99      0.00      6.74      0.17      0.00     79.10
03:47:14 PM IST     all     14.10      0.00      7.44      0.00      0.00     78.46
03:47:15 PM IST     all     15.75      0.00      6.69      0.68      0.00     76.88
03:47:16 PM IST     all     16.08      0.00      7.57      0.52      0.00     75.84
03:47:17 PM IST     all     15.50      0.00      7.92      0.51      0.00     76.06
03:47:18 PM IST     all     17.01      0.00      7.86      0.60      0.00     74.53
03:47:19 PM IST     all     17.34      0.00      6.70      0.69      0.00     75.28
03:47:20 PM IST     all     17.32      0.00      8.23      0.26      0.00     74.19
03:47:21 PM IST     all     20.15      0.00      8.33      0.17      0.00     71.34
03:47:22 PM IST     all     26.70      0.00      8.70      0.52      0.00     64.08
03:47:23 PM IST     all     22.12      0.00      9.32      0.25      0.00     68.31
03:47:24 PM IST     all     15.13      0.00      8.11      0.00      0.00     76.75
03:47:25 PM IST     all     14.53      0.00      6.32      0.00      0.00     79.15
03:47:26 PM IST     all     14.41      0.00      7.20      0.00      0.00     78.39
03:47:27 PM IST     all     15.23      0.00      6.67      0.09      0.00     78.02
03:47:28 PM IST     all     14.82      0.00      7.24      0.17      0.00     77.77
03:47:29 PM IST     all     16.24      0.00      7.26      0.26      0.00     76.24
03:47:30 PM IST     all     15.14      0.00      8.13      0.17      0.00     76.56
03:47:31 PM IST     all     17.24      0.00      7.08      0.26      0.00     75.43
03:47:32 PM IST     all     14.89      0.00      6.98      0.17      0.00     77.96
03:47:33 PM IST     all     13.79      0.00      6.72      0.17      0.00     79.32
03:47:34 PM IST     all     13.26      0.00      6.76      0.00      0.00     79.98
