procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 1840140 1044420  91276 3192060    6   19   100   226 1824   28  4  2 93  0  0  0
53  0 1840140 926912  91296 3200296    4    0     4  3096 27174 157216 15  8 77  0  0  0
53  0 1840140 946252  91296 3183708    0    0     0   420 29168 186020 14  8 78  0  0  0
52  0 1840140 960856  91296 3183056    0    0     0   412 29891 186900 15  7 79  0  0  0
44  0 1840140 969620  91296 3172544    0    0     0     0 30311 186825 16  7 77  0  0  0
50  0 1840140 970356  91296 3172656    0    0    64     4 29863 187436 15  7 78  0  0  0
52  1 1840140 972756  91312 3172684    0    0     0   116 28322 183423 14  7 79  0  0  0
53  0 1840140 961068  91312 3173016    0    0     0     8 27850 183700 13  8 78  0  0  0
52  0 1840140 958296  91328 3173596    0    0     0   308 27843 182202 14  7 79  0  0  0
52  0 1840140 955396  91328 3172916    0    0     0     0 28463 185646 16  6 77  0  0  0
51  0 1840140 956048  91328 3173004    0    0     0    16 29428 186167 14  6 79  0  0  0
51  0 1840140 956648  91328 3173060    0    0     0     0 29623 188221 13  7 80  0  0  0
51  0 1840140 980920  91336 3142552    0    0     0    68 30925 186827 14  7 78  0  0  0
51  1 1840140 978064  91352 3142904    0    0     0   244 28660 181645 19  7 74  0  0  0
51  0 1840140 980072  91352 3143016    0    0     0     0 28218 185335 14  7 79  0  0  0
52  0 1840140 984052  91368 3143028    0    0     0   244 27099 181440 14  7 79  0  0  0
52  0 1840140 992600  91368 3142752    0    0    68     0 28739 184367 15  7 78  0  0  0
51  0 1840140 990040  91384 3143036    0    0     0   188 29503 185580 14  7 79  0  0  0
52  0 1840140 991708  91392 3143060    0    0     0   212 30009 186509 14  7 79  0  0  0
51  0 1840140 992364  91392 3143084    0    0     0     0 29485 185784 14  7 79  0  0  0
52  0 1840140 989756  91392 3143172    0    0     0     4 28584 184827 15  7 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0 1840140 985628  91408 3143176    0    0     0   104 28337 183118 13  8 79  0  0  0
51  0 1840140 986168  91408 3142952    0    0     0     0 28898 185473 14  7 79  0  0  0
51  0 1840140 973360  91424 3156120    0    0     0    92 28609 180387 17  7 76  0  0  0
14  0 1840140 908268  91432 3213060    0    0     0   192 29865 182180 17  7 76  0  0  0
53  0 1840140 906784  91432 3218072    0    0     0     0 28773 180703 15  7 78  0  0  0
53  0 1840140 930388  91432 3207544    0    0     0     0 31406 178861 22  7 71  1  0  0
51  0 1840140 920956  91432 3213580    0    0     0     0 30376 186425 15  7 77  0  0  0
52  0 1840140 912592  91440 3222224    0    0     0    92 31265 184572 17  7 76  0  0  0
52  0 1840140 890996  91448 3231552    0    0     0   484 29105 183783 16  7 77  0  0  0
50  0 1840140 892636  91464 3231132    0    0     0   160 31262 186415 15  7 77  0  0  0
 4  0 1840140 906224  91464 3219396    0    0     0    72 30381 184487 16  7 77  0  0  0
25  0 1840140 881736  91464 3249264    0    0     0   452 30896 184833 16  8 76  0  0  0
55  0 1840140 920416  91464 3206104    0    0     0     0 31080 185615 15  8 76  0  0  0
52  0 1840140 918232  91480 3205968    0    0     0  1012 30746 185189 17  7 76  0  0  0
51  0 1840140 883300  91488 3232240    0    0     0    20 30230 180048 18  7 75  0  0  0
 7  0 1840140 850256  91488 3250520    0    0     0     8 28123 178791 17  7 76  0  0  0
51  0 1840140 840236  91488 3264872    0    0     0     0 29027 182728 15  7 78  0  0  0
51  0 1840140 829024  91488 3273692    0    0     0     0 29370 183610 17  7 76  0  0  0
50  0 1840140 838928  91488 3271104    0    0     0   252 30555 181748 16  7 76  1  0  0
53  0 1840140 834960  91504 3281988    0    0     0   740 31284 183887 17  8 75  0  0  0
47  0 1840140 813668  91512 3293016    0    0     0   152 28274 182252 15  8 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  0 1840140 814952  91512 3309300    0    0     0     0 30731 186532 16  7 77  0  0  0
52  0 1840140 818624  91512 3293740    0    0     8     0 30520 186480 14  8 78  0  0  0
51  0 1840140 853840  91512 3263896    0    0     0   320 29742 182445 16  8 76  0  0  0
51  0 1840140 850888  91512 3267232    0    0     0   332 28588 185631 15  8 78  0  0  0
51  0 1840140 841292  91528 3277788    0    0     0   152 30353 183498 16  8 76  0  0  0
51  0 1840140 853464  91528 3276340    0    0     0     0 32173 187016 16  7 76  0  0  0
54  0 1840140 851760  91544 3275436    0    0     0   116 29045 183102 16  7 77  0  0  0
52  0 1840140 853208  91544 3273412    0    0     0   252 29274 184897 14  7 79  0  0  0
51  0 1840140 850432  91544 3278300    0    0     0     0 30100 184349 16  7 77  0  0  0
50  0 1840140 828816  91552 3302892    0    0     0    20 28766 182521 15  7 78  0  0  0
54  0 1840140 826060  91552 3302740    0    0     0   136 30055 183595 15  7 77  0  0  0
53  0 1840140 813404  91576 3307568    0    0     0   324 30383 184577 16  7 77  0  0  0
53  0 1840140 813168  91592 3307476    0    0     0   372 30530 184942 15  8 76  0  0  0
 4  0 1840140 812208  91592 3307700    0    0     0     0 27725 182638 14  8 78  0  0  0
52  0 1840140 818268  91608 3293928    0    0     0   116 28759 183788 14  7 79  0  0  0
54  0 1840140 822492  91616 3287396    0    0     0    24 29596 186185 14  7 78  0  0  0
