Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:04:49 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:04:50 PM IST  all    8.00    0.00    6.32    0.17    0.00    0.42    0.00    0.00    0.00   85.09
11:04:51 PM IST  all    9.70    0.00    6.10    0.08    0.00    1.09    0.00    0.00    0.00   83.03
11:04:52 PM IST  all    8.98    0.00    5.93    0.08    0.00    1.10    0.00    0.00    0.00   83.90
11:04:53 PM IST  all    9.18    0.00    5.35    0.00    0.00    1.36    0.00    0.00    0.00   84.11
11:04:54 PM IST  all    9.68    0.00    6.14    0.00    0.00    1.43    0.00    0.00    0.00   82.74
11:04:55 PM IST  all    9.07    0.00    5.59    0.00    0.00    1.02    0.00    0.00    0.00   84.32
11:04:56 PM IST  all    9.89    0.00    6.29    0.00    0.00    1.01    0.00    0.00    0.00   82.82
11:04:57 PM IST  all    9.27    0.00    5.90    0.00    0.00    1.01    0.00    0.00    0.00   83.81
11:04:58 PM IST  all    8.06    0.00    6.37    0.08    0.00    0.93    0.00    0.00    0.00   84.55
11:04:59 PM IST  all    9.22    0.00    6.09    0.00    0.00    1.10    0.00    0.00    0.00   83.59
11:05:00 PM IST  all    9.71    0.00    6.17    0.00    0.00    1.01    0.00    0.00    0.00   83.11
11:05:01 PM IST  all    9.84    0.00    6.14    0.00    0.00    0.93    0.00    0.00    0.00   83.10
11:05:02 PM IST  all    9.54    0.00    5.66    0.00    0.00    0.68    0.00    0.00    0.00   84.12
11:05:03 PM IST  all    9.16    0.00    6.72    0.00    0.00    1.01    0.00    0.00    0.00   83.11
11:05:04 PM IST  all    9.59    0.00    6.84    0.00    0.00    1.00    0.00    0.00    0.00   82.57
11:05:05 PM IST  all   10.25    0.00    5.80    0.08    0.00    0.76    0.00    0.00    0.00   83.11
11:05:06 PM IST  all    9.84    0.00    6.14    0.00    0.00    1.26    0.00    0.00    0.00   82.76
11:05:07 PM IST  all    8.31    0.00    6.28    0.00    0.00    1.02    0.00    0.00    0.00   84.39
11:05:08 PM IST  all    9.45    0.00    5.91    0.00    0.00    1.27    0.00    0.00    0.00   83.38
11:05:09 PM IST  all    9.07    0.00    5.85    0.00    0.00    1.10    0.00    0.00    0.00   83.98
11:05:10 PM IST  all    9.25    0.00    5.85    0.08    0.00    0.85    0.00    0.00    0.00   83.97
11:05:11 PM IST  all   10.08    0.00    5.97    0.00    0.00    0.50    0.00    0.00    0.00   83.45
11:05:12 PM IST  all   10.03    0.00    5.90    0.00    0.00    0.84    0.00    0.00    0.00   83.22
11:05:13 PM IST  all    9.76    0.00    5.26    0.00    0.00    1.27    0.00    0.00    0.00   83.70
11:05:14 PM IST  all    9.57    0.00    5.79    0.00    0.00    1.18    0.00    0.00    0.00   83.46
11:05:15 PM IST  all    9.59    0.00    5.35    0.00    0.00    1.02    0.00    0.00    0.00   84.04
11:05:16 PM IST  all    9.89    0.00    5.49    0.00    0.00    1.18    0.00    0.00    0.00   83.43
11:05:17 PM IST  all    8.38    0.00    6.09    0.00    0.00    1.02    0.00    0.00    0.00   84.52
11:05:18 PM IST  all    9.63    0.00    5.91    0.00    0.00    1.27    0.00    0.00    0.00   83.19
11:05:19 PM IST  all    9.75    0.00    5.17    0.00    0.00    1.10    0.00    0.00    0.00   83.97
11:05:20 PM IST  all    9.68    0.00    5.98    0.00    0.00    0.76    0.00    0.00    0.00   83.59
11:05:21 PM IST  all   10.26    0.00    6.14    0.00    0.00    0.67    0.00    0.00    0.00   82.93
11:05:22 PM IST  all    8.75    0.00    5.86    0.00    0.00    1.10    0.00    0.00    0.00   84.28
11:05:23 PM IST  all    9.34    0.00    5.94    0.00    0.00    0.76    0.00    0.00    0.00   83.96
11:05:24 PM IST  all    9.90    0.00    5.67    0.00    0.00    0.93    0.00    0.00    0.00   83.50
11:05:25 PM IST  all    9.48    0.00    6.29    0.00    0.00    1.09    0.00    0.00    0.00   83.14
11:05:26 PM IST  all    8.92    0.00    5.86    0.00    0.00    0.76    0.00    0.00    0.00   84.45
11:05:27 PM IST  all    9.91    0.00    5.79    0.00    0.00    0.92    0.00    0.00    0.00   83.38
11:05:28 PM IST  all    9.66    0.00    5.88    0.00    0.00    1.26    0.00    0.00    0.00   83.21
11:05:29 PM IST  all    9.62    0.00    5.82    0.00    0.00    0.93    0.00    0.00    0.00   83.63
11:05:30 PM IST  all    8.81    0.00    5.76    0.17    0.00    0.85    0.00    0.00    0.00   84.41
11:05:31 PM IST  all    9.70    0.00    5.23    0.00    0.00    0.93    0.00    0.00    0.00   84.14
11:05:32 PM IST  all   10.09    0.00    6.02    0.00    0.00    0.68    0.00    0.00    0.00   83.21
11:05:33 PM IST  all    9.38    0.00    5.49    0.00    0.00    1.27    0.00    0.00    0.00   83.87
11:05:34 PM IST  all    9.89    0.00    5.49    0.00    0.00    1.01    0.00    0.00    0.00   83.60
11:05:35 PM IST  all    9.01    0.00    6.03    0.00    0.00    0.85    0.00    0.00    0.00   84.11
11:05:36 PM IST  all    9.91    0.00    5.71    0.00    0.00    1.09    0.00    0.00    0.00   83.29
11:05:37 PM IST  all    9.50    0.00    5.43    0.00    0.00    0.76    0.00    0.00    0.00   84.31
11:05:38 PM IST  all   10.50    0.00    5.21    0.00    0.00    0.76    0.00    0.00    0.00   83.54
11:05:39 PM IST  all    9.38    0.00    5.58    0.00    0.00    1.44    0.00    0.00    0.00   83.60
11:05:40 PM IST  all    9.44    0.00    6.41    0.00    0.00    0.76    0.00    0.00    0.00   83.39
11:05:41 PM IST  all    8.83    0.00    5.86    0.00    0.00    1.02    0.00    0.00    0.00   84.30
11:05:42 PM IST  all   10.04    0.00    5.40    0.00    0.00    1.10    0.00    0.00    0.00   83.46
11:05:43 PM IST  all    9.88    0.00    5.83    0.00    0.00    1.01    0.00    0.00    0.00   83.28
11:05:44 PM IST  all    9.13    0.00    5.83    0.00    0.00    1.10    0.00    0.00    0.00   83.94
11:05:45 PM IST  all    9.65    0.00    5.96    0.00    0.00    1.34    0.00    0.00    0.00   83.05
11:05:46 PM IST  all    9.53    0.00    5.65    0.00    0.00    1.10    0.00    0.00    0.00   83.73
11:05:47 PM IST  all   10.15    0.00    5.84    0.00    0.00    1.02    0.00    0.00    0.00   82.99
11:05:48 PM IST  all   10.52    0.00    5.76    0.00    0.00    1.17    0.00    0.00    0.00   82.55
11:05:49 PM IST  all    9.67    0.00    5.72    0.00    0.00    0.84    0.00    0.00    0.00   83.77
11:05:50 PM IST  all    8.50    0.00    6.12    0.00    0.00    1.19    0.00    0.00    0.00   84.20
11:05:51 PM IST  all    9.64    0.00    5.83    0.00    0.00    0.76    0.00    0.00    0.00   83.77
11:05:52 PM IST  all    9.72    0.00    6.00    0.00    0.00    1.35    0.00    0.00    0.00   82.92
11:05:53 PM IST  all    9.52    0.00    5.64    0.08    0.00    1.01    0.00    0.00    0.00   83.74
11:05:54 PM IST  all    9.94    0.00    5.73    0.00    0.00    1.10    0.00    0.00    0.00   83.24
11:05:55 PM IST  all    9.07    0.00    5.76    0.00    0.00    1.19    0.00    0.00    0.00   83.98
11:05:56 PM IST  all    9.70    0.00    5.73    0.00    0.00    1.18    0.00    0.00    0.00   83.39
11:05:57 PM IST  all    9.41    0.00    5.43    0.00    0.00    1.19    0.00    0.00    0.00   83.97
11:05:58 PM IST  all    9.50    0.00    6.22    0.00    0.00    0.67    0.00    0.00    0.00   83.60
11:05:59 PM IST  all    8.94    0.00    5.96    0.00    0.00    0.85    0.00    0.00    0.00   84.24
11:06:00 PM IST  all    9.87    0.00    5.56    0.00    0.00    1.10    0.00    0.00    0.00   83.47
11:06:01 PM IST  all    9.48    0.00    5.50    0.00    0.00    1.35    0.00    0.00    0.00   83.66
11:06:02 PM IST  all   10.12    0.00    5.82    0.00    0.00    0.93    0.00    0.00    0.00   83.14
11:06:03 PM IST  all    9.74    0.00    5.79    0.00    0.00    1.09    0.00    0.00    0.00   83.38
11:06:04 PM IST  all    8.98    0.00    5.93    0.08    0.00    1.27    0.00    0.00    0.00   83.73
11:06:05 PM IST  all    9.55    0.00    5.83    0.00    0.00    1.18    0.00    0.00    0.00   83.43
11:06:06 PM IST  all    8.88    0.00    5.92    0.00    0.00    1.18    0.00    0.00    0.00   84.01
11:06:07 PM IST  all    9.49    0.00    5.68    0.00    0.00    0.68    0.00    0.00    0.00   84.15
