Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

02:53:15 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:53:16 PM IST     all     14.81      0.00      7.91      0.17      0.00     77.10
02:53:17 PM IST     all     14.59      0.00      8.35      0.00      0.00     77.07
02:53:18 PM IST     all     16.15      0.00      7.15      0.00      0.00     76.70
02:53:19 PM IST     all     15.59      0.00      8.09      0.00      0.00     76.33
02:53:20 PM IST     all     14.92      0.00      7.80      0.00      0.00     77.29
02:53:21 PM IST     all     14.11      0.00      7.23      0.00      0.00     78.66
02:53:22 PM IST     all     15.59      0.00      7.12      0.00      0.00     77.29
02:53:23 PM IST     all     15.78      0.00      6.92      0.17      0.00     77.13
02:53:24 PM IST     all     17.03      0.00      7.97      0.08      0.00     74.92
02:53:25 PM IST     all     17.50      0.00      7.45      0.17      0.00     74.87
02:53:26 PM IST     all     17.10      0.00      7.58      0.08      0.00     75.23
02:53:27 PM IST     all     15.33      0.00      7.16      0.00      0.00     77.51
02:53:28 PM IST     all     15.26      0.00      7.08      0.00      0.00     77.66
02:53:29 PM IST     all     15.57      0.00      7.53      0.00      0.00     76.90
02:53:30 PM IST     all     15.79      0.00      7.43      0.00      0.00     76.77
02:53:31 PM IST     all     16.06      0.00      6.29      0.00      0.00     77.66
02:53:32 PM IST     all     15.00      0.00      7.37      0.08      0.00     77.54
02:53:33 PM IST     all     15.62      0.00      6.88      0.00      0.00     77.50
02:53:34 PM IST     all     15.77      0.00      7.42      0.00      0.00     76.81
02:53:35 PM IST     all     15.00      0.00      7.42      0.00      0.00     77.58
02:53:36 PM IST     all     15.70      0.00      7.05      0.00      0.00     77.25
02:53:37 PM IST     all     15.42      0.00      6.95      0.00      0.00     77.63
02:53:38 PM IST     all     14.66      0.00      8.34      0.00      0.00     77.00
02:53:39 PM IST     all     15.12      0.00      7.90      0.00      0.00     76.98
02:53:40 PM IST     all     15.46      0.00      7.60      0.00      0.00     76.94
02:53:41 PM IST     all     14.94      0.00      7.85      0.00      0.00     77.22
02:53:42 PM IST     all     15.00      0.00      7.46      0.00      0.00     77.54
02:53:43 PM IST     all     14.16      0.00      7.76      0.00      0.00     78.07
02:53:44 PM IST     all     15.80      0.00      7.73      0.00      0.00     76.47
02:53:45 PM IST     all     15.41      0.00      7.71      0.00      0.00     76.88
02:53:46 PM IST     all     14.38      0.00      8.04      0.08      0.00     77.50
02:53:47 PM IST     all     15.05      0.00      7.14      0.00      0.00     77.81
02:53:48 PM IST     all     15.56      0.00      7.99      0.00      0.00     76.45
02:53:49 PM IST     all     14.56      0.00      8.04      0.00      0.00     77.39
02:53:50 PM IST     all     15.19      0.00      7.68      0.00      0.00     77.13
02:53:51 PM IST     all     14.98      0.00      7.83      0.00      0.00     77.19
02:53:52 PM IST     all     16.26      0.00      6.52      0.00      0.00     77.22
02:53:53 PM IST     all     15.95      0.00      6.92      0.08      0.00     77.05
02:53:54 PM IST     all     16.37      0.00      6.62      0.00      0.00     77.01
02:53:55 PM IST     all     14.93      0.00      7.72      0.00      0.00     77.35
02:53:56 PM IST     all     14.64      0.00      7.95      0.00      0.00     77.41
02:53:57 PM IST     all     15.75      0.00      7.62      0.00      0.00     76.63
02:53:58 PM IST     all     16.09      0.00      7.08      0.00      0.00     76.83
02:53:59 PM IST     all     15.42      0.00      7.41      0.00      0.00     77.17
02:54:00 PM IST     all     15.78      0.00      7.17      0.00      0.00     77.05
02:54:01 PM IST     all     15.01      0.00      7.55      0.00      0.00     77.44
02:54:02 PM IST     all     15.13      0.00      7.95      0.00      0.00     76.92
02:54:03 PM IST     all     15.96      0.00      6.96      0.00      0.00     77.08
02:54:04 PM IST     all     14.72      0.00      8.04      0.08      0.00     77.16
