Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

10:54:24 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:25 PM IST  all    9.14    0.00    7.30    0.17    0.00    1.09    0.00    0.00    0.00   82.30
10:54:26 PM IST  all   17.19    0.00    7.87    0.08    0.00    3.05    0.00    0.00    0.00   71.80
10:54:27 PM IST  all   16.58    0.00    8.04    0.00    0.00    3.13    0.00    0.00    0.00   72.25
10:54:28 PM IST  all   16.01    0.00    9.10    0.00    0.00    3.54    0.00    0.00    0.00   71.36
10:54:29 PM IST  all   17.74    0.00    7.95    0.00    0.00    2.93    0.00    0.00    0.00   71.38
10:54:30 PM IST  all   16.53    0.00    7.29    0.00    0.00    3.22    0.00    0.00    0.00   72.97
10:54:31 PM IST  all   16.69    0.00    7.76    0.00    0.00    3.79    0.00    0.00    0.00   71.75
10:54:32 PM IST  all   16.45    0.00    8.40    0.00    0.00    2.63    0.00    0.00    0.00   72.52
10:54:33 PM IST  all   16.74    0.00    8.07    0.00    0.00    3.62    0.00    0.00    0.00   71.57
10:54:34 PM IST  all   16.40    0.00    8.45    0.00    0.00    2.87    0.00    0.00    0.00   72.27
10:54:35 PM IST  all   17.45    0.00    8.31    0.00    0.00    2.68    0.00    0.00    0.00   71.56
10:54:36 PM IST  all   16.20    0.00    7.42    0.00    0.00    3.32    0.00    0.00    0.00   73.06
10:54:37 PM IST  all   16.48    0.00    7.34    0.00    0.00    3.16    0.00    0.00    0.00   73.01
10:54:38 PM IST  all   16.69    0.00    8.01    0.00    0.00    3.54    0.00    0.00    0.00   71.75
10:54:39 PM IST  all   16.37    0.00    7.63    0.00    0.00    3.31    0.00    0.00    0.00   72.69
10:54:40 PM IST  all   16.72    0.00    7.69    0.08    0.00    3.21    0.00    0.00    0.00   72.30
10:54:41 PM IST  all   17.62    0.00    6.80    0.00    0.00    3.44    0.00    0.00    0.00   72.15
10:54:42 PM IST  all   16.24    0.00    7.28    0.00    0.00    3.47    0.00    0.00    0.00   73.01
10:54:43 PM IST  all   17.71    0.00    8.09    0.00    0.00    2.87    0.00    0.00    0.00   71.33
10:54:44 PM IST  all   16.99    0.00    7.44    0.00    0.00    2.70    0.00    0.00    0.00   72.87
10:54:45 PM IST  all   16.30    0.00    8.11    0.00    0.00    3.29    0.00    0.00    0.00   72.30
10:54:46 PM IST  all   15.55    0.00    8.33    0.00    0.00    3.14    0.00    0.00    0.00   72.98
10:54:47 PM IST  all   16.03    0.00    8.52    0.00    0.00    3.29    0.00    0.00    0.00   72.15
10:54:48 PM IST  all   16.05    0.00    7.60    0.00    0.00    2.65    0.00    0.00    0.00   73.70
10:54:49 PM IST  all   16.16    0.00    8.29    0.00    0.00    2.79    0.00    0.00    0.00   72.76
10:54:50 PM IST  all   17.37    0.00    7.67    0.00    0.00    2.78    0.00    0.00    0.00   72.18
10:54:51 PM IST  all   17.09    0.00    7.45    0.00    0.00    2.76    0.00    0.00    0.00   72.70
10:54:52 PM IST  all   16.64    0.00    8.11    0.08    0.00    3.72    0.00    0.00    0.00   71.45
10:54:53 PM IST  all   15.86    0.00    8.35    0.00    0.00    3.46    0.00    0.00    0.00   72.32
10:54:54 PM IST  all   16.05    0.00    7.94    0.00    0.00    3.38    0.00    0.00    0.00   72.64
10:54:55 PM IST  all   16.10    0.00    7.80    0.00    0.00    3.14    0.00    0.00    0.00   72.97
10:54:56 PM IST  all   16.34    0.00    7.83    0.00    0.00    3.29    0.00    0.00    0.00   72.54
10:54:57 PM IST  all   16.19    0.00    8.14    0.00    0.00    3.14    0.00    0.00    0.00   72.54
10:54:58 PM IST  all   16.75    0.00    8.29    0.00    0.00    3.69    0.00    0.00    0.00   71.27
10:54:59 PM IST  all   16.13    0.00    7.98    0.00    0.00    3.14    0.00    0.00    0.00   72.75
10:55:00 PM IST  all   16.74    0.00    8.20    0.08    0.00    2.79    0.00    0.00    0.00   72.19
10:55:01 PM IST  all   16.07    0.00    8.12    0.00    0.00    3.38    0.00    0.00    0.00   72.42
10:55:02 PM IST  all   16.67    0.00    7.58    0.00    0.00    3.37    0.00    0.00    0.00   72.39
10:55:03 PM IST  all   16.62    0.00    8.02    0.00    0.00    2.95    0.00    0.00    0.00   72.41
10:55:04 PM IST  all   16.10    0.00    7.80    0.00    0.00    3.14    0.00    0.00    0.00   72.97
10:55:05 PM IST  all   16.53    0.00    8.26    0.00    0.00    3.12    0.00    0.00    0.00   72.09
10:55:06 PM IST  all   16.42    0.00    6.93    0.09    0.00    3.08    0.00    0.00    0.00   73.48
10:55:07 PM IST  all   16.36    0.00    7.46    0.00    0.00    3.22    0.00    0.00    0.00   72.97
10:55:08 PM IST  all   16.65    0.00    7.19    0.00    0.00    3.72    0.00    0.00    0.00   72.44
10:55:09 PM IST  all   16.62    0.00    7.93    0.00    0.00    3.21    0.00    0.00    0.00   72.24
10:55:10 PM IST  all   16.10    0.00    8.05    0.00    0.00    2.80    0.00    0.00    0.00   73.05
10:55:11 PM IST  all   16.12    0.00    7.46    0.00    0.00    3.65    0.00    0.00    0.00   72.77
10:55:12 PM IST  all   17.01    0.00    7.61    0.00    0.00    3.38    0.00    0.00    0.00   72.00
10:55:13 PM IST  all   15.56    0.00    8.16    0.00    0.00    3.15    0.00    0.00    0.00   73.13
