procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 1893524 2440344  78932 2698516    6   19   102   227 1632   25  4  2 94  0  0  0
 5  0 1893524 2347964  78932 2688908    0    0     0  2768 20778 99537 14  9 73  3  0  0
 3  0 1893524 2354252  78932 2689156    0    0     0    16 20290 103636 16  9 73  3  0  0
 4  0 1893524 2359740  78952 2688520    0    0     0   396 20674 107220 16  9 73  2  0  0
 3  0 1893524 2355640  78968 2688512    0    0     0   520 20791 107943 15  8 75  2  0  0
 2  0 1893524 2353528  78968 2688580    8    0     8     0 20531 108282 17  8 74  1  0  0
 1  0 1893524 2347412  78976 2695036    0    0   120   436 21295 108507 17  8 75  0  0  0
 4  0 1893524 2346720  78976 2695104    0    0     0     0 20239 109257 16  8 76  0  0  0
 6  0 1893524 2354384  78984 2669596    0    0     0    32 17850 95606 15  8 77  0  0  0
 2  0 1893524 2357688  78984 2669576    0    0     0     0 19175 100258 17  8 75  0  0  0
 3  0 1893524 2345084  78984 2669584    0    0     0   256 18875 102176 16  8 76  0  0  0
 4  0 1893524 2340332  78992 2669480    0    0     0    64 19159 103339 15  8 77  0  0  0
 5  0 1893524 2338732  78992 2669388    0    0     0     0 20468 108102 16  8 76  0  0  0
 3  0 1893524 2342992  79000 2669540    0    0     0   280 19808 100296 15  9 76  0  0  0
 5  0 1893524 2337120  79000 2669444    0    0     0     0 20691 107249 15  9 76  0  0  0
 6  0 1893524 2341188  79000 2669408    0    0     0   232 20519 108363 15  9 76  0  0  0
 2  0 1893524 2338636  79008 2669232    0    0     0   276 18107 99640 16  8 75  0  0  0
 2  0 1893524 2341912  79008 2669444    0    0     0     0 20057 105626 15  8 77  0  0  0
 4  0 1893524 2342648  79032 2669528    0    0     0   372 19297 104880 16  8 76  0  0  0
 4  0 1893524 2314520  79032 2669404    0    0     0    80 20225 106603 15  9 76  0  0  0
 5  0 1893524 2319912  79032 2669636    0    0     0     8 18883 100929 15  9 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 1893524 2325396  79032 2669648    0    0     0     0 20000 107006 16  8 77  0  0  0
 2  0 1893524 2325392  79032 2669680    0    0     0   256 20690 107840 16  8 76  0  0  0
 2  0 1893524 2321332  79048 2669484    0    0     0    92 18745 102137 16  8 76  0  0  0
 3  0 1893524 2320908  79048 2669668    0    0     0     0 18868 101041 15  8 77  0  0  0
 6  0 1893524 2322268  79048 2670032    0    0     0     0 19539 106472 15  8 77  0  0  0
 5  0 1893524 2315672  79048 2670272    0    0     0   408 19112 104504 16  8 77  0  0  0
 5  0 1893524 2320888  79048 2669668    0    0     0   164 19152 103502 16  8 77  0  0  0
 3  0 1893524 2318412  79064 2669752    0    0     0    48 20708 110080 16  8 76  0  0  0
 1  0 1893524 2321040  79064 2669800    0    0     0   256 19290 103623 16  8 76  0  0  0
 1  0 1893524 2300904  79064 2670120    0    0     0     0 19000 101601 17  8 75  0  0  0
 3  0 1893524 2297920  79080 2669932    0    0     0   100 19913 107611 15  8 77  0  0  0
 3  0 1893524 2299456  79080 2670492    0    0     0   256 18733 100806 15  9 76  0  0  0
 3  0 1893524 2312836  79088 2670184    0    0     0    40 18718 100954 16  9 75  0  0  0
 3  0 1893524 2317456  79088 2670008    0    0     0     0 20189 106566 16  8 76  0  0  0
 1  0 1893524 2316552  79088 2670056    0    0     0   260 20066 109333 15  8 77  0  0  0
 4  0 1893524 2313852  79104 2669916    0    0     0   116 20267 108468 15  9 76  0  0  0
 4  0 1893524 2292856  79104 2670300    0    0     0     0 20000 107312 15  8 76  0  0  0
 5  0 1893524 2293268  79112 2670204    0    0     0   304 19618 106095 16  7 77  0  0  0
 1  0 1893524 2291128  79112 2670132    0    0     0     0 19510 105281 15  9 77  0  0  0
 4  0 1893524 2289816  79112 2670492    0    0     0     0 18678 101185 15  9 76  0  0  0
 6  0 1893524 2292264  79120 2670048    0    0     0    24 20914 111061 16  8 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 1893524 2297728  79120 2670068    0    0     4   256 19658 103393 16  8 76  0  0  0
 4  0 1893524 2299068  79128 2670148    0    0     0    20 21536 111649 15  9 76  0  0  0
 3  0 1893524 2285308  79144 2670196    0    0     0   100 20558 107416 15  8 76  0  0  0
 3  0 1893524 2294700  79144 2670076    0    0     0   676 21114 109307 16  7 77  0  0  0
 1  0 1893524 2250728  79144 2670340    0    0     0     0 19524 104172 16  9 75  0  0  0
 1  0 1893524 2264168  79144 2670376    0    0     0     0 20478 107350 15  8 76  0  0  0
 1  0 1893524 2276840  79144 2670756    0    0     0   316 20170 108101 16  7 76  0  0  0
 2  0 1893524 2270524  79160 2670892    0    0     0   144 21155 109855 15  8 76  0  0  0
 4  0 1893524 2271908  79160 2670412    0    0     0     4 20027 105954 15  8 77  0  0  0
 5  0 1893524 2274336  79160 2670140    0    0     0   196 19976 107015 17  8 75  0  0  0
 3  0 1893524 2273552  79160 2670496    0    0     0     0 18934 103259 16  7 77  0  0  0
 4  0 1893524 2275764  79160 2670472    0    0     0     0 20495 107717 15  9 76  0  0  0
 4  0 1893524 2272716  79176 2670140    0    0     0   296 19189 104768 16  8 76  0  0  0
 3  0 1893524 2271976  79176 2670480    0    0     0     0 20410 107208 16  9 75  0  0  0
 4  0 1893524 2275464  79176 2670608    0    0     0     0 19812 105671 15  9 77  0  0  0
 5  0 1893524 2243032  79192 2670712    0    0     0    96 19682 103915 14  8 77  0  0  0
 3  0 1893524 2251680  79192 2670904    0    0     0   256 19963 104129 15  8 77  0  0  0
 3  0 1893524 2261044  79200 2671080    0    0     0    24 18113 99655 16  9 75  0  0  0
 5  0 1893524 2260112  79200 2670460    0    0     0     0 19611 107004 14  8 77  0  0  0
 2  0 1893524 2257348  79200 2670504    0    0     0   256 18247 100693 14  8 77  0  0  0
 2  0 1893524 2258996  79208 2670628    0    0     0    80 19201 105161 15  9 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 1893524 2259560  79208 2670532    0    0     0    92 18953 103810 16  8 76  0  0  0
 6  0 1893524 2259336  79216 2670352    0    0     0   304 20481 110871 15  8 77  0  0  0
 3  0 1893524 2263492  79232 2670480    0    0     0   120 18883 102795 14  9 76  0  0  0
 3  0 1893524 2258184  79232 2670368    0    0     0    16 20325 109014 15  8 76  0  0  0
 3  0 1893524 2265432  79240 2670592    0    0     0    72 18931 103196 16  7 77  0  0  0
 3  0 1893524 2255852  79240 2670648    0    0     0     0 19924 107030 15  9 76  0  0  0
 3  0 1893524 2253852  79240 2670612    0    0     0     0 19721 105851 15  8 77  0  0  0
 3  0 1893524 2261976  79248 2670728    0    0     0    28 21330 112361 15  8 77  0  0  0
 2  0 1893524 2225116  79264 2670984    0    0     0   100 20793 109908 16  8 77  0  0  0
 4  0 1893524 2253796  79264 2670904    0    0     0     0 18775 99211 16  9 75  0  0  0
 4  0 1893524 2248792  79264 2670944    0    0     0     0 20021 108356 15  8 77  0  0  0
 3  0 1893524 2251208  79264 2670760    0    0     0    32 19270 104826 17  8 76  0  0  0
 1  0 1893524 2255056  79264 2670964    0    0     0     0 19968 107457 15  9 77  0  0  0
 4  0 1893524 2263268  79280 2670908    0    0     0    36 20333 107354 16  8 76  0  0  0
 1  0 1893524 2259200  79280 2671384    0    0     0   420 19982 107703 15  8 77  0  0  0
 2  0 1893524 2257988  79280 2671404    0    0     0     0 20106 108109 15  9 77  0  0  0
 1  0 1893524 2257212  79280 2670920    0    0     0    60 19183 106079 15  8 77  0  0  0
 3  0 1893524 2256776  79280 2671176    0    0    12     0 20320 109135 16  8 76  0  0  0
 4  0 1893524 2254224  79288 2671148    0    0     0    60 19993 108491 15  8 77  0  0  0
 4  0 1893524 2256140  79296 2670816    0    0     0   184 21033 110592 15  8 76  0  0  0
 4  0 1893524 2260916  79296 2671228    8    0     8     0 20190 106320 15  8 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 1893524 2262080  79320 2671404    0    0     0   176 19429 104199 16  8 77  0  0  0
 1  0 1893524 2255328  79320 2671112    0    0     0     0 17939 98894 16  8 76  0  0  0
 2  0 1893524 2259160  79320 2670736    0    0     0     0 18822 101601 16  9 76  0  0  0
 2  0 1893524 2259160  79328 2671028    0    0     0    20 21300 111687 15  9 77  0  0  0
 4  0 1893524 2255468  79328 2671044    0    0     0     0 20958 110080 15  8 76  0  0  0
 3  0 1893524 2213236  79336 2671680    0    0     0    24 21338 102166 16  8 76  0  0  0
 4  0 1893524 2211964  79336 2671204    0    0     0     0 19794 107071 15  9 77  0  0  0
 2  0 1893524 2208916  79336 2671304    0    0     0     0 20076 107580 15  8 77  0  0  0
 4  0 1893524 2211832  79336 2671336    0    0     0     0 20306 109158 16  7 76  0  0  0
 2  0 1893524 2201848  79360 2671548    0    0    20   136 19822 103854 16  8 76  0  0  0
 4  0 1893524 2155040  79416 2675112    4    0   492 38516 19979 102509 17  8 73  1  0  0
 2  0 1893524 2174976  79416 2675400    0    0     0    32 20300 106955 15  8 77  0  0  0
 4  0 1893524 2178844  79432 2675320    0    0     0   124 20442 108929 16  8 76  1  0  0
 1  0 1893524 2182084  79448 2675408    0    0     0    96 21142 108786 15  8 76  1  0  0
 4  0 1893524 2192152  79456 2675332    0    0     0   296 19691 106261 15  8 77  0  0  0
 6  0 1893524 2194772  79456 2675916    0    0     0   556 21243 111406 16  8 76  0  0  0
 7  0 1893524 2202412  79456 2675832    0    0     0     0 21460 113132 16  8 76  0  0  0
 1  0 1893524 2203104  79456 2675796    0    0     0     0 20883 110866 16  8 77  0  0  0
 2  1 1893524 2213600  79464 2675188    0    0     0    40 20140 107581 16  8 76  0  0  0
 5  0 1893524 2219704  79464 2675228    0    0     0     0 20141 107587 15  8 76  0  0  0
 2  0 1893524 2224020  79472 2675292    0    0     0    16 20138 106641 15  7 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
