Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

04:38:41 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:42 PM IST     all      2.94      0.00      1.68     18.39      0.00     76.99
04:38:43 PM IST     all      2.19      0.00      1.35      9.50      0.00     86.96
04:38:44 PM IST     all      2.43      0.00      1.43      7.89      0.00     88.25
04:38:45 PM IST     all     15.82      0.00      6.38      3.83      0.00     73.98
04:38:46 PM IST     all     34.27      0.00     12.13      1.53      0.00     52.08
04:38:47 PM IST     all     19.76      0.00      8.61      0.42      0.00     71.20
04:38:48 PM IST     all     14.71      0.00      6.59      0.51      0.00     78.19
04:38:49 PM IST     all     19.70      0.00      8.03      0.08      0.00     72.19
04:38:50 PM IST     all     27.57      0.00      8.65      1.78      0.00     62.00
04:38:51 PM IST     all     17.49      0.00      6.71      0.76      0.00     75.04
04:38:52 PM IST     all     18.17      0.00      7.09      1.38      0.00     73.36
04:38:53 PM IST     all     14.83      0.00      6.99      0.85      0.00     77.32
04:38:54 PM IST     all     18.35      0.00      8.58      3.31      0.00     69.75
04:38:55 PM IST     all     16.77      0.00      7.53      0.34      0.00     75.36
04:38:56 PM IST     all     21.27      0.00      8.90      0.59      0.00     69.24
04:38:57 PM IST     all     15.21      0.00      8.59      0.34      0.00     75.86
04:38:58 PM IST     all     14.70      0.00      6.67      1.88      0.00     76.75
04:38:59 PM IST     all     14.54      0.00      7.65      0.43      0.00     77.38
04:39:00 PM IST     all     16.88      0.00      7.59      0.60      0.00     74.94
04:39:01 PM IST     all     17.42      0.00      9.26      0.85      0.00     72.47
04:39:02 PM IST     all     15.96      0.00      6.57      0.26      0.00     77.22
04:39:03 PM IST     all     13.57      0.00      7.56      1.37      0.00     77.49
04:39:04 PM IST     all     13.91      0.00      7.76      0.34      0.00     77.99
04:39:05 PM IST     all     16.10      0.00      6.73      0.17      0.00     77.00
04:39:06 PM IST     all     20.81      0.00      7.11      0.51      0.00     71.57
04:39:07 PM IST     all     14.87      0.00      7.48      0.34      0.00     77.32
04:39:08 PM IST     all     17.88      0.00      6.67      0.60      0.00     74.85
04:39:09 PM IST     all     15.25      0.00      7.16      0.43      0.00     77.17
04:39:10 PM IST     all     16.08      0.00      8.04      0.51      0.00     75.36
04:39:11 PM IST     all     15.38      0.00      7.09      0.34      0.00     77.18
04:39:12 PM IST     all     14.60      0.00      6.46      0.17      0.00     78.78
04:39:13 PM IST     all     14.55      0.00      6.98      0.08      0.00     78.39
04:39:14 PM IST     all     12.69      0.00      6.60      0.34      0.00     80.37
04:39:15 PM IST     all     11.96      0.00      7.00      0.09      0.00     80.96
04:39:16 PM IST     all     12.62      0.00      7.20      0.25      0.00     79.93
04:39:17 PM IST     all     12.22      0.00      7.05      0.25      0.00     80.48
04:39:18 PM IST     all     12.39      0.00      6.50      0.09      0.00     81.03
04:39:19 PM IST     all     12.74      0.00      7.05      0.17      0.00     80.03
04:39:20 PM IST     all     12.54      0.00      6.78      0.08      0.00     80.59
04:39:21 PM IST     all     12.57      0.00      6.37      0.25      0.00     80.80
04:39:22 PM IST     all     13.63      0.00      6.44      0.08      0.00     79.85
04:39:23 PM IST     all     13.58      0.00      6.58      0.17      0.00     79.68
04:39:24 PM IST     all     12.20      0.00      6.95      0.25      0.00     80.59
04:39:25 PM IST     all     12.86      0.00      6.30      0.09      0.00     80.75
04:39:26 PM IST     all     12.29      0.00      5.80      0.09      0.00     81.83
04:39:27 PM IST     all     12.51      0.00      6.38      0.09      0.00     81.02
04:39:28 PM IST     all     13.12      0.00      6.22      0.09      0.00     80.58
04:39:29 PM IST     all     12.65      0.00      6.79      0.17      0.00     80.39
04:39:30 PM IST     all     13.32      0.00      6.79      0.25      0.00     79.64
04:39:31 PM IST     all     13.07      0.00      7.17      0.08      0.00     79.68
04:39:32 PM IST     all     12.20      0.00      6.95      0.25      0.00     80.59
04:39:33 PM IST     all     11.90      0.00      6.68      0.26      0.00     81.16
04:39:34 PM IST     all     12.89      0.00      6.96      0.17      0.00     79.98
04:39:35 PM IST     all     12.28      0.00      7.16      0.09      0.00     80.48
04:39:36 PM IST     all     13.15      0.00      6.02      0.08      0.00     80.75
04:39:37 PM IST     all     12.32      0.00      7.26      0.17      0.00     80.25
04:39:38 PM IST     all     12.43      0.00      7.02      0.17      0.00     80.39
04:39:39 PM IST     all     12.16      0.00      6.72      0.17      0.00     80.95
04:39:40 PM IST     all     13.67      0.00      6.28      0.17      0.00     79.88
04:39:41 PM IST     all     12.87      0.00      6.69      0.08      0.00     80.36
04:39:42 PM IST     all     13.41      0.00      5.89      0.43      0.00     80.27
04:39:43 PM IST     all     12.50      0.00      6.80      0.09      0.00     80.61
04:39:44 PM IST     all     13.03      0.00      6.81      0.17      0.00     79.98
04:39:45 PM IST     all     13.00      0.00      6.92      0.17      0.00     79.92
04:39:46 PM IST     all     12.71      0.09      5.97      0.09      0.00     81.14
04:39:47 PM IST     all     11.74      0.00      7.49      0.17      0.00     80.60
04:39:48 PM IST     all     12.98      0.00      6.45      0.08      0.00     80.49
04:39:49 PM IST     all     12.41      0.00      6.34      0.17      0.00     81.08
04:39:50 PM IST     all     12.36      0.00      7.20      0.08      0.00     80.36
04:39:51 PM IST     all     12.86      0.00      7.06      0.25      0.00     79.83
04:39:52 PM IST     all     13.35      0.00      5.78      0.09      0.00     80.78
