Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:01:51 AM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:01:52 AM IST  all    4.63    0.00    3.11    3.36    0.00    0.50    0.00    0.00    0.00   88.39
12:01:53 AM IST  all   11.82    0.00    4.17    0.77    0.00    1.62    0.00    0.00    0.00   81.63
12:01:54 AM IST  all   11.75    0.00    4.94    0.68    0.00    1.19    0.00    0.00    0.00   81.43
12:01:55 AM IST  all   10.27    0.00    3.93    1.28    0.00    1.63    0.00    0.00    0.00   82.89
12:01:56 AM IST  all   10.76    0.00    4.36    0.94    0.00    1.79    0.00    0.00    0.00   82.15
12:01:57 AM IST  all   12.87    0.00    5.17    0.17    0.00    1.44    0.00    0.00    0.00   80.36
12:01:58 AM IST  all   12.49    0.00    4.79    0.09    0.00    1.54    0.00    0.00    0.00   81.09
12:01:59 AM IST  all   12.93    0.00    4.73    0.08    0.00    1.78    0.00    0.00    0.00   80.47
12:02:00 AM IST  all   12.34    0.00    4.88    0.09    0.00    1.71    0.00    0.00    0.00   80.98
12:02:01 AM IST  all   13.02    0.00    4.65    0.17    0.00    1.78    0.00    0.00    0.00   80.39
12:02:02 AM IST  all   11.82    0.00    5.87    0.09    0.00    1.36    0.00    0.00    0.00   80.87
12:02:03 AM IST  all   12.83    0.00    5.18    0.00    0.00    1.53    0.00    0.00    0.00   80.46
12:02:04 AM IST  all   13.07    0.00    4.84    0.17    0.00    1.53    0.00    0.00    0.00   80.39
12:02:05 AM IST  all   12.91    0.00    4.50    0.08    0.00    1.70    0.00    0.00    0.00   80.80
12:02:06 AM IST  all   12.43    0.00    5.02    0.09    0.00    1.87    0.00    0.00    0.00   80.60
12:02:07 AM IST  all   12.65    0.00    4.10    0.09    0.00    1.71    0.00    0.00    0.00   81.45
12:02:08 AM IST  all   13.22    0.00    4.75    0.08    0.00    1.61    0.00    0.00    0.00   80.34
12:02:09 AM IST  all   12.28    0.00    4.94    0.09    0.00    1.79    0.00    0.00    0.00   80.90
12:02:10 AM IST  all   13.00    0.00    4.39    0.08    0.00    2.11    0.00    0.00    0.00   80.42
12:02:11 AM IST  all   13.40    0.00    4.10    0.09    0.00    1.45    0.00    0.00    0.00   80.97
12:02:12 AM IST  all   13.59    0.00    4.33    0.08    0.00    1.53    0.00    0.00    0.00   80.46
12:02:13 AM IST  all   12.89    0.00    5.00    0.08    0.00    1.70    0.00    0.00    0.00   80.32
12:02:14 AM IST  all   11.90    0.00    5.70    0.09    0.00    1.53    0.00    0.00    0.00   80.78
12:02:15 AM IST  all   13.23    0.00    3.84    0.09    0.00    1.88    0.00    0.00    0.00   80.97
12:02:16 AM IST  all   13.52    0.00    4.14    0.08    0.00    1.78    0.00    0.00    0.00   80.47
12:02:17 AM IST  all   13.04    0.00    4.15    0.08    0.00    1.95    0.00    0.00    0.00   80.78
12:02:18 AM IST  all   13.00    0.00    5.06    0.08    0.00    1.52    0.00    0.00    0.00   80.34
12:02:19 AM IST  all   13.00    0.00    4.67    0.08    0.00    1.70    0.00    0.00    0.00   80.54
12:02:20 AM IST  all   12.33    0.00    4.93    0.09    0.00    1.70    0.00    0.00    0.00   80.95
12:02:21 AM IST  all   12.95    0.00    4.60    0.09    0.00    1.36    0.00    0.00    0.00   81.01
12:02:22 AM IST  all   11.98    0.00    4.79    0.17    0.00    1.80    0.00    0.00    0.00   81.27
12:02:23 AM IST  all   12.90    0.00    4.67    0.08    0.00    1.78    0.00    0.00    0.00   80.56
12:02:24 AM IST  all   12.67    0.00    4.98    0.17    0.00    1.69    0.00    0.00    0.00   80.49
12:02:25 AM IST  all   12.35    0.00    4.77    0.00    0.00    1.96    0.00    0.00    0.00   80.92
12:02:26 AM IST  all   12.81    0.00    3.84    0.09    0.00    2.05    0.00    0.00    0.00   81.21
12:02:27 AM IST  all   12.97    0.00    5.08    0.08    0.00    1.36    0.00    0.00    0.00   80.51
12:02:28 AM IST  all   12.18    0.00    4.77    0.09    0.00    2.04    0.00    0.00    0.00   80.92
12:02:29 AM IST  all   13.33    0.00    5.81    0.00    0.00    1.71    0.00    0.00    0.00   79.15
12:02:30 AM IST  all   15.04    0.00    5.44    0.25    0.00    1.87    0.00    0.00    0.00   77.40
12:02:31 AM IST  all   12.04    0.00    5.12    0.09    0.00    1.45    0.00    0.00    0.00   81.30
12:02:32 AM IST  all   12.07    0.00    5.19    0.09    0.00    1.79    0.00    0.00    0.00   80.87
12:02:33 AM IST  all   12.27    0.00    5.25    0.17    0.00    1.78    0.00    0.00    0.00   80.54
12:02:34 AM IST  all   12.24    0.00    5.10    0.09    0.00    1.53    0.00    0.00    0.00   81.04
12:02:35 AM IST  all   13.17    0.00    4.53    0.09    0.00    1.63    0.00    0.00    0.00   80.58
12:02:36 AM IST  all   13.22    0.00    4.83    0.08    0.00    1.27    0.00    0.00    0.00   80.59
12:02:37 AM IST  all   12.14    0.00    4.53    0.17    0.00    2.05    0.00    0.00    0.00   81.11
12:02:38 AM IST  all   13.73    0.00    4.30    0.08    0.00    1.94    0.00    0.00    0.00   79.95
12:02:39 AM IST  all   12.61    0.00    4.60    0.09    0.00    1.70    0.00    0.00    0.00   81.01
12:02:40 AM IST  all   12.60    0.00    4.60    0.09    0.00    1.70    0.00    0.00    0.00   81.02
12:02:41 AM IST  all   13.04    0.00    4.40    0.08    0.00    1.86    0.00    0.00    0.00   80.61
12:02:42 AM IST  all   11.89    0.00    5.69    0.08    0.00    1.70    0.00    0.00    0.00   80.63
12:02:43 AM IST  all   12.47    0.00    4.95    0.09    0.00    1.20    0.00    0.00    0.00   81.30
12:02:44 AM IST  all   13.55    0.00    4.57    0.08    0.00    1.69    0.00    0.00    0.00   80.10
12:02:45 AM IST  all   13.06    0.00    4.58    0.08    0.00    1.44    0.00    0.00    0.00   80.83
12:02:46 AM IST  all   12.71    0.00    4.44    0.09    0.00    1.71    0.00    0.00    0.00   81.06
12:02:47 AM IST  all   12.77    0.00    4.43    0.09    0.00    1.79    0.00    0.00    0.00   80.94
12:02:48 AM IST  all   13.01    0.00    4.73    0.08    0.00    1.94    0.00    0.00    0.00   80.24
12:02:49 AM IST  all   13.09    0.00    4.02    0.17    0.00    1.54    0.00    0.00    0.00   81.18
12:02:50 AM IST  all   13.52    0.00    4.17    0.09    0.00    1.28    0.00    0.00    0.00   80.95
12:02:51 AM IST  all   12.90    0.00    4.75    0.08    0.00    2.12    0.00    0.00    0.00   80.14
12:02:52 AM IST  all   12.55    0.00    5.05    0.08    0.00    2.27    0.00    0.00    0.00   80.03
12:02:53 AM IST  all   13.36    0.00    4.56    0.08    0.00    1.78    0.00    0.00    0.00   80.22
12:02:54 AM IST  all   11.80    0.00    5.26    0.08    0.00    1.78    0.00    0.00    0.00   81.07
12:02:55 AM IST  all   13.04    0.00    4.91    0.17    0.00    1.35    0.00    0.00    0.00   80.52
12:02:56 AM IST  all   12.36    0.00    5.03    0.09    0.00    1.36    0.00    0.00    0.00   81.16
12:02:57 AM IST  all   12.84    0.00    4.76    0.09    0.00    1.70    0.00    0.00    0.00   80.61
12:02:58 AM IST  all   12.35    0.00    5.11    0.00    0.00    1.45    0.00    0.00    0.00   81.09
12:02:59 AM IST  all   12.74    0.00    4.16    0.25    0.00    1.95    0.00    0.00    0.00   80.88
12:03:00 AM IST  all   13.01    0.00    4.62    0.00    0.00    1.54    0.00    0.00    0.00   80.82
12:03:01 AM IST  all   12.56    0.00    4.27    0.17    0.00    1.88    0.00    0.00    0.00   81.11
12:03:02 AM IST  all   12.50    0.00    4.93    0.17    0.00    1.53    0.00    0.00    0.00   80.87
12:03:03 AM IST  all   12.79    0.00    5.17    0.08    0.00    1.78    0.00    0.00    0.00   80.19
