procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1 1840908 436936  32580 3459072    6   19    99   317 2280   34  5  2 92  0  0  0
46  0 1840908 234776  32580 3609288    0    0     0   680 4860 18239 12  3 77  8  0  0
 2  1 1840908 333296  32580 3466660    0    0     0   280 5294 22667 13  3 77  7  0  0
42  1 1840908 351244  32580 3460536    0    0     0   280 13253 69808 14  4 78  5  0  0
 0  1 1840908 377208  32588 3460368    0    0     0   308 12764 71131  5  3 86  6  0  0
46  0 1840908 378924  32608 3456024    4    0     4  1552 19592 111071  9  4 81  5  0  0
53  0 1840908 375912  32608 3456160    0    0     0  2272 29159 177411 13  6 80  0  0  0
49  0 1840908 382992  32608 3456344    0    0     0  1832 27964 174037 15  6 79  0  0  0
51  0 1840908 382256  32648 3454232    0    0     0  2156 27730 171399 13  7 80  0  0  0
49  0 1840908 383276  32656 3454544    0    0     0  2352 28767 175947 13  7 79  0  0  0
51  0 1840908 440576  32664 3454336    0    0     0  2020 28180 174715 14  7 79  0  0  0
45  0 1840908 430188  32664 3454588    0    0     0  1952 27598 172740 13  7 80  0  0  0
43  0 1840908 425360  32664 3452112    0    0     0  1824 28717 173649 13  7 79  0  0  0
45  1 1840908 422788  32664 3452040    0    0    52  2004 27386 166265 15  7 78  0  0  0
 9  0 1840908 414332  32672 3452592    0    0     0  1896 29426 176088 14  7 79  0  0  0
52  0 1840908 414432  32680 3449776    0    0     0  1956 28028 175361 14  6 80  0  0  0
43  0 1840908 419340  32680 3453076    0    0     0  1784 27947 172881 12  7 81  0  0  0
50  0 1840908 409668  32680 3453532    0    0     0  1960 29078 175070 13  7 80  0  0  0
47  0 1840908 407216  32680 3453812    0    0     0  1904 27693 174841 14  7 79  0  0  0
50  0 1840908 402192  32696 3451088    0    0     0  2036 29070 175500 14  7 79  0  0  0
52  0 1840908 453388  32696 3450800    0    0     0  2024 28748 174757 14  7 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
34  0 1840908 442552  32728 3451092    0    0     0  2168 28597 176439 13  6 81  0  0  0
49  0 1840908 436392  32728 3451420    0    0     0  2072 29146 175729 13  7 80  0  0  0
42  0 1840908 432664  32744 3451180    0    0     0  2188 27445 172113 14  7 79  0  0  0
 2  0 1840908 428984  32752 3451572    0    0     0  2024 28475 176207 14  7 79  0  0  0
52  0 1840908 431272  32752 3451868    0    0     0  1968 27727 168112 12  8 81  0  0  0
