Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:56:39 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:40 PM IST  all    2.68    0.00    2.18    5.95    0.00    0.08    0.00    0.00    0.00   89.11
11:56:41 PM IST  all    4.61    0.00    3.94    5.95    0.00    0.59    0.00    0.00    0.00   84.92
11:56:42 PM IST  all    6.93    0.00    3.55    2.87    0.00    0.93    0.00    0.00    0.00   85.71
11:56:43 PM IST  all    8.47    0.00    5.08    0.08    0.00    0.93    0.00    0.00    0.00   85.42
11:56:44 PM IST  all    9.78    0.00    4.97    0.00    0.00    1.18    0.00    0.00    0.00   84.06
11:56:45 PM IST  all    9.70    0.00    5.14    0.00    0.00    0.93    0.00    0.00    0.00   84.23
11:56:46 PM IST  all    8.19    0.00    5.83    0.00    0.00    1.01    0.00    0.00    0.00   84.97
11:56:47 PM IST  all    9.10    0.00    5.48    0.00    0.00    0.93    0.00    0.00    0.00   84.50
11:56:48 PM IST  all    8.06    0.00    5.85    0.00    0.00    1.36    0.00    0.00    0.00   84.73
11:56:49 PM IST  all   10.89    0.00    4.73    0.00    0.00    1.01    0.00    0.00    0.00   83.38
11:56:50 PM IST  all    9.00    0.00    5.43    0.00    0.00    1.19    0.00    0.00    0.00   84.38
11:56:51 PM IST  all    9.49    0.00    5.34    0.00    0.00    1.10    0.00    0.00    0.00   84.07
11:56:52 PM IST  all    9.87    0.00    4.77    0.00    0.00    1.11    0.00    0.00    0.00   84.26
11:56:53 PM IST  all    9.40    0.00    5.76    0.00    0.00    0.76    0.00    0.00    0.00   84.08
11:56:54 PM IST  all    8.32    0.00    5.26    0.00    0.00    1.10    0.00    0.00    0.00   85.31
11:56:55 PM IST  all   25.64    0.00    5.26    0.00    0.00    1.02    0.00    0.00    0.00   68.08
11:56:56 PM IST  all    9.21    0.00    5.32    0.00    0.00    0.84    0.00    0.00    0.00   84.63
11:56:57 PM IST  all    9.44    0.00    5.14    0.00    0.00    0.93    0.00    0.00    0.00   84.50
11:56:58 PM IST  all   10.04    0.00    4.98    0.00    0.00    1.10    0.00    0.00    0.00   83.88
11:56:59 PM IST  all    9.77    0.00    4.89    0.00    0.00    1.01    0.00    0.00    0.00   84.33
11:57:00 PM IST  all    9.76    0.00    5.26    0.08    0.00    0.51    0.00    0.00    0.00   84.38
11:57:01 PM IST  all    9.04    0.00    5.32    0.00    0.00    1.60    0.00    0.00    0.00   84.04
11:57:02 PM IST  all    9.18    0.00    5.73    0.00    0.00    0.93    0.00    0.00    0.00   84.16
11:57:03 PM IST  all    8.83    0.00    5.60    0.00    0.00    1.02    0.00    0.00    0.00   84.55
11:57:04 PM IST  all    9.14    0.00    5.92    0.00    0.00    0.68    0.00    0.00    0.00   84.26
11:57:05 PM IST  all    8.81    0.00    6.21    0.00    0.00    1.17    0.00    0.00    0.00   83.81
11:57:06 PM IST  all    9.78    0.00    5.65    0.08    0.00    0.76    0.00    0.00    0.00   83.73
11:57:07 PM IST  all    8.21    0.00    5.67    0.08    0.00    1.18    0.00    0.00    0.00   84.86
11:57:08 PM IST  all    8.46    0.00    5.08    0.00    0.00    1.10    0.00    0.00    0.00   85.36
11:57:09 PM IST  all    8.75    0.00    5.01    0.00    0.00    1.44    0.00    0.00    0.00   84.79
11:57:10 PM IST  all    8.84    0.00    4.93    0.00    0.00    1.27    0.00    0.00    0.00   84.96
11:57:11 PM IST  all    8.62    0.00    5.66    0.00    0.00    1.18    0.00    0.00    0.00   84.53
11:57:12 PM IST  all    9.47    0.00    4.65    0.00    0.00    1.01    0.00    0.00    0.00   84.87
11:57:13 PM IST  all    9.35    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   84.54
11:57:14 PM IST  all    9.92    0.00    5.29    0.00    0.00    0.92    0.00    0.00    0.00   83.87
11:57:15 PM IST  all    9.11    0.00    5.40    0.00    0.00    1.10    0.00    0.00    0.00   84.40
11:57:16 PM IST  all    9.14    0.00    5.50    0.00    0.00    0.85    0.00    0.00    0.00   84.52
11:57:17 PM IST  all    8.44    0.00    5.49    0.08    0.00    0.93    0.00    0.00    0.00   85.06
11:57:18 PM IST  all   10.23    0.00    4.73    0.08    0.00    0.68    0.00    0.00    0.00   84.28
11:57:19 PM IST  all    9.92    0.00    5.55    0.00    0.00    1.18    0.00    0.00    0.00   83.36
11:57:20 PM IST  all    9.38    0.00    5.58    0.00    0.00    0.93    0.00    0.00    0.00   84.11
11:57:21 PM IST  all    9.31    0.00    5.50    0.00    0.00    0.93    0.00    0.00    0.00   84.25
11:57:22 PM IST  all    9.41    0.00    5.17    0.00    0.00    1.10    0.00    0.00    0.00   84.32
11:57:23 PM IST  all    8.52    0.00    5.82    0.00    0.00    0.84    0.00    0.00    0.00   84.82
11:57:24 PM IST  all    9.56    0.00    5.16    0.00    0.00    0.76    0.00    0.00    0.00   84.52
11:57:25 PM IST  all    9.87    0.00    5.14    0.00    0.00    0.84    0.00    0.00    0.00   84.15
11:57:26 PM IST  all    9.25    0.00    5.43    0.00    0.00    1.10    0.00    0.00    0.00   84.22
11:57:27 PM IST  all    9.69    0.00    5.14    0.00    0.00    0.93    0.00    0.00    0.00   84.25
11:57:28 PM IST  all   10.37    0.00    4.47    0.00    0.00    1.01    0.00    0.00    0.00   84.15
11:57:29 PM IST  all    8.68    0.00    5.90    0.00    0.00    1.10    0.00    0.00    0.00   84.33
11:57:30 PM IST  all    9.65    0.00    5.25    0.00    0.00    0.93    0.00    0.00    0.00   84.17
11:57:31 PM IST  all    8.79    0.00    6.26    0.00    0.00    1.10    0.00    0.00    0.00   83.85
11:57:32 PM IST  all    9.66    0.00    5.54    0.00    0.00    0.84    0.00    0.00    0.00   83.96
11:57:33 PM IST  all    9.92    0.00    5.47    0.00    0.00    1.09    0.00    0.00    0.00   83.52
11:57:34 PM IST  all    9.41    0.00    5.26    0.00    0.00    1.02    0.00    0.00    0.00   84.31
11:57:35 PM IST  all    8.95    0.00    5.49    0.00    0.00    1.01    0.00    0.00    0.00   84.56
11:57:36 PM IST  all    8.21    0.00    6.26    0.00    0.00    0.59    0.00    0.00    0.00   84.94
11:57:37 PM IST  all    9.63    0.00    5.15    0.08    0.00    1.10    0.00    0.00    0.00   84.04
11:57:38 PM IST  all    8.98    0.00    5.25    0.00    0.00    0.68    0.00    0.00    0.00   85.10
11:57:39 PM IST  all    8.25    0.00    6.06    0.00    0.00    1.18    0.00    0.00    0.00   84.51
11:57:40 PM IST  all    8.40    0.00    5.43    0.00    0.00    0.93    0.00    0.00    0.00   85.23
11:57:41 PM IST  all    9.21    0.00    5.33    0.00    0.00    0.76    0.00    0.00    0.00   84.70
11:57:42 PM IST  all    9.40    0.00    5.00    0.00    0.00    1.10    0.00    0.00    0.00   84.50
11:57:43 PM IST  all    9.28    0.00    5.32    0.00    0.00    0.84    0.00    0.00    0.00   84.56
11:57:44 PM IST  all    9.56    0.00    5.45    0.00    0.00    0.92    0.00    0.00    0.00   84.07
11:57:45 PM IST  all    9.00    0.00    5.26    0.00    0.00    0.85    0.00    0.00    0.00   84.89
11:57:46 PM IST  all    9.96    0.00    5.32    0.00    0.00    1.01    0.00    0.00    0.00   83.71
11:57:47 PM IST  all    9.51    0.00    4.67    0.00    0.00    0.93    0.00    0.00    0.00   84.89
11:57:48 PM IST  all    9.49    0.00    5.17    0.08    0.00    0.93    0.00    0.00    0.00   84.32
11:57:49 PM IST  all    9.01    0.00    5.48    0.08    0.00    0.93    0.00    0.00    0.00   84.50
11:57:50 PM IST  all    8.89    0.00    5.87    0.00    0.00    0.84    0.00    0.00    0.00   84.40
11:57:51 PM IST  all    9.33    0.00    5.17    0.00    0.00    0.68    0.00    0.00    0.00   84.82
11:57:52 PM IST  all    9.03    0.00    5.11    0.00    0.00    0.60    0.00    0.00    0.00   85.26
11:57:53 PM IST  all    9.34    0.00    5.26    0.00    0.00    0.76    0.00    0.00    0.00   84.63
11:57:54 PM IST  all    9.55    0.00    5.86    0.00    0.00    1.09    0.00    0.00    0.00   83.50
11:57:55 PM IST  all    9.18    0.00    5.19    0.00    0.00    0.68    0.00    0.00    0.00   84.95
11:57:56 PM IST  all    9.53    0.00    5.65    0.00    0.00    1.01    0.00    0.00    0.00   83.81
11:57:57 PM IST  all    9.14    0.00    4.91    0.00    0.00    0.85    0.00    0.00    0.00   85.10
11:57:58 PM IST  all    8.62    0.00    5.86    0.00    0.00    1.00    0.00    0.00    0.00   84.52
11:57:59 PM IST  all    9.28    0.00    5.15    0.00    0.00    0.93    0.00    0.00    0.00   84.64
11:58:00 PM IST  all    8.91    0.00    5.97    0.00    0.00    0.92    0.00    0.00    0.00   84.20
11:58:01 PM IST  all    9.02    0.00    5.23    0.00    0.00    1.18    0.00    0.00    0.00   84.57
11:58:02 PM IST  all    9.38    0.00    5.33    0.00    0.00    1.10    0.00    0.00    0.00   84.19
11:58:03 PM IST  all    9.56    0.00    5.78    0.00    0.00    1.17    0.00    0.00    0.00   83.49
11:58:04 PM IST  all    8.67    0.00    5.27    0.00    0.00    1.10    0.00    0.00    0.00   84.96
11:58:05 PM IST  all   10.20    0.00    5.65    0.00    0.00    0.76    0.00    0.00    0.00   83.39
11:58:06 PM IST  all    9.04    0.00    5.66    0.00    0.00    0.93    0.00    0.00    0.00   84.38
11:58:07 PM IST  all    9.12    0.00    5.15    0.08    0.00    0.84    0.00    0.00    0.00   84.80
11:58:08 PM IST  all    9.75    0.00    4.87    0.00    0.00    1.09    0.00    0.00    0.00   84.29
11:58:09 PM IST  all    9.08    0.00    6.03    0.00    0.00    0.51    0.00    0.00    0.00   84.38
11:58:10 PM IST  all    8.62    0.00    6.09    0.00    0.00    0.76    0.00    0.00    0.00   84.53
11:58:11 PM IST  all    9.47    0.00    5.41    0.00    0.00    0.85    0.00    0.00    0.00   84.28
11:58:12 PM IST  all    9.81    0.00    5.08    0.00    0.00    1.10    0.00    0.00    0.00   84.01
11:58:13 PM IST  all    9.40    0.00    5.37    0.00    0.00    0.76    0.00    0.00    0.00   84.47
11:58:14 PM IST  all    9.06    0.00    5.50    0.00    0.00    0.93    0.00    0.00    0.00   84.50
11:58:15 PM IST  all    8.76    0.00    5.31    0.00    0.00    1.18    0.00    0.00    0.00   84.75
11:58:16 PM IST  all    9.29    0.00    5.74    0.00    0.00    0.93    0.00    0.00    0.00   84.04
11:58:17 PM IST  all    9.46    0.00    5.32    0.00    0.00    0.93    0.00    0.00    0.00   84.29
11:58:18 PM IST  all    9.17    0.00    5.55    0.00    0.00    1.18    0.00    0.00    0.00   84.10
11:58:19 PM IST  all    8.69    0.00    5.49    0.00    0.00    1.01    0.00    0.00    0.00   84.81
11:58:20 PM IST  all    9.63    0.00    5.07    0.00    0.00    1.18    0.00    0.00    0.00   84.12
11:58:21 PM IST  all    8.94    0.00    6.24    0.00    0.00    1.01    0.00    0.00    0.00   83.81
11:58:22 PM IST  all    8.42    0.00    5.44    0.00    0.00    1.28    0.00    0.00    0.00   84.86
