Linux 6.12.33+kali-amd64 (two94) 	22/11/25 	_x86_64_	(12 CPU)

11:41:06 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:41:07 PM IST  all    3.19    0.00    1.42    6.71    0.00    0.34    0.00    0.00    0.00   88.35
11:41:08 PM IST  all    2.01    0.00    1.09    7.44    0.00    0.25    0.00    0.00    0.00   89.22
11:41:09 PM IST  all    1.59    0.00    0.84    7.30    0.00    0.17    0.00    0.00    0.00   90.10
11:41:10 PM IST  all    1.68    0.00    0.84    7.21    0.00    0.34    0.00    0.00    0.00   89.93
11:41:11 PM IST  all    4.23    0.00    1.69    5.33    0.00    0.34    0.00    0.00    0.00   88.42
11:41:12 PM IST  all   10.52    0.00    5.09    0.68    0.00    1.53    0.00    0.00    0.00   82.19
11:41:13 PM IST  all   11.49    0.00    4.14    0.76    0.00    1.52    0.00    0.00    0.00   82.09
11:41:14 PM IST  all    9.87    0.00    4.09    1.19    0.00    1.11    0.00    0.00    0.00   83.74
11:41:15 PM IST  all   10.35    0.00    4.75    0.85    0.00    1.36    0.00    0.00    0.00   82.70
11:41:16 PM IST  all   10.98    0.00    4.31    0.76    0.00    1.52    0.00    0.00    0.00   82.43
11:41:17 PM IST  all   10.98    0.00    4.22    0.76    0.00    1.69    0.00    0.00    0.00   82.35
11:41:18 PM IST  all   11.14    0.00    3.97    0.76    0.00    1.69    0.00    0.00    0.00   82.45
11:41:19 PM IST  all   11.17    0.00    4.62    0.67    0.00    1.85    0.00    0.00    0.00   81.70
11:41:20 PM IST  all   10.36    0.00    4.84    0.85    0.00    0.93    0.00    0.00    0.00   83.02
11:41:21 PM IST  all   10.84    0.00    4.06    0.93    0.00    1.35    0.00    0.00    0.00   82.81
11:41:22 PM IST  all   11.30    0.00    4.16    0.59    0.00    1.27    0.00    0.00    0.00   82.67
11:41:23 PM IST  all   10.90    0.00    4.31    0.76    0.00    1.18    0.00    0.00    0.00   82.85
11:41:24 PM IST  all   12.02    0.00    4.54    0.25    0.00    1.51    0.00    0.00    0.00   81.68
11:41:25 PM IST  all   11.21    0.00    4.81    0.67    0.00    1.43    0.00    0.00    0.00   81.87
11:41:26 PM IST  all   11.69    0.00    4.46    0.76    0.00    1.35    0.00    0.00    0.00   81.75
11:41:27 PM IST  all   10.63    0.00    3.66    0.94    0.00    1.70    0.00    0.00    0.00   83.08
11:41:28 PM IST  all   10.47    0.00    4.34    1.02    0.00    1.45    0.00    0.00    0.00   82.72
11:41:29 PM IST  all   11.00    0.00    4.40    0.76    0.00    1.35    0.00    0.00    0.00   82.49
11:41:30 PM IST  all   10.71    0.00    4.55    0.67    0.00    1.69    0.00    0.00    0.00   82.38
11:41:31 PM IST  all   11.85    0.00    4.54    0.67    0.00    1.43    0.00    0.00    0.00   81.51
11:41:32 PM IST  all   10.71    0.00    4.42    0.68    0.00    1.61    0.00    0.00    0.00   82.58
11:41:33 PM IST  all   10.78    0.00    4.24    0.68    0.00    1.61    0.00    0.00    0.00   82.68
11:41:34 PM IST  all   10.92    0.00    4.70    0.92    0.00    1.34    0.00    0.00    0.00   82.12
11:41:35 PM IST  all   10.37    0.00    4.08    0.94    0.00    1.45    0.00    0.00    0.00   83.16
11:41:36 PM IST  all   11.31    0.00    4.47    0.76    0.00    1.18    0.00    0.00    0.00   82.28
11:41:37 PM IST  all   11.54    0.00    3.54    0.84    0.00    1.77    0.00    0.00    0.00   82.31
11:41:38 PM IST  all   12.12    0.00    4.12    0.67    0.00    1.43    0.00    0.00    0.00   81.65
11:41:39 PM IST  all   11.81    0.00    4.22    0.76    0.00    1.52    0.00    0.00    0.00   81.69
11:41:40 PM IST  all   11.05    0.00    4.81    0.67    0.00    1.35    0.00    0.00    0.00   82.12
11:41:41 PM IST  all   10.53    0.00    4.04    1.10    0.00    1.60    0.00    0.00    0.00   82.73
11:41:42 PM IST  all   11.39    0.00    4.17    0.68    0.00    1.28    0.00    0.00    0.00   82.48
11:41:43 PM IST  all   11.30    0.00    4.44    0.75    0.00    1.84    0.00    0.00    0.00   81.67
11:41:44 PM IST  all   10.58    0.00    4.65    0.76    0.00    1.44    0.00    0.00    0.00   82.57
11:41:45 PM IST  all   11.69    0.00    4.66    0.59    0.00    1.02    0.00    0.00    0.00   82.03
11:41:46 PM IST  all   11.72    0.00    5.07    0.67    0.00    1.50    0.00    0.00    0.00   81.05
11:41:47 PM IST  all   10.63    0.00    4.25    0.77    0.00    1.36    0.00    0.00    0.00   82.99
11:41:48 PM IST  all   10.96    0.00    4.05    1.01    0.00    1.69    0.00    0.00    0.00   82.29
11:41:49 PM IST  all   10.89    0.00    4.17    0.68    0.00    1.79    0.00    0.00    0.00   82.47
11:41:50 PM IST  all   10.31    0.00    4.60    0.68    0.00    1.28    0.00    0.00    0.00   83.13
11:41:51 PM IST  all   10.95    0.00    4.50    0.76    0.00    1.36    0.00    0.00    0.00   82.43
11:41:52 PM IST  all   10.52    0.00    4.75    0.68    0.00    1.19    0.00    0.00    0.00   82.87
11:41:53 PM IST  all   10.43    0.00    4.75    0.68    0.00    2.04    0.00    0.00    0.00   82.10
11:41:54 PM IST  all   10.83    0.00    4.31    0.93    0.00    1.18    0.00    0.00    0.00   82.74
11:41:55 PM IST  all   10.68    0.00    4.12    1.09    0.00    1.60    0.00    0.00    0.00   82.51
