procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 1752588 625128 104812 3982232    6   19    99   275 2046   31  5  2 93  0  0  0
 2  1 1752588 596320 104812 3982288    0    0     0   944 2572 8014  2  2 90  6  0  0
 1  1 1752588 586252 104824 3982288    0    0     0   460 2152 7299  1  1 90  8  0  0
45  0 1752588 569124 104824 3982296    0    0     0  4632 12413 80252  8  4 85  3  0  0
30  0 1752588 590212 104832 3982328    0    0     0  6888 16886 111436 10  6 83  1  0  0
50  0 1752588 585316 104832 3982368    0    0     0  6992 16578 114816 10  6 83  1  0  0
37  0 1752588 574036 104848 3982404    0    0     0  7368 17774 115708 11  6 83  1  0  0
27  0 1752588 584088 104864 3982444    0    0     0  8444 18319 118151 11  6 82  1  0  0
47  0 1752588 584312 104864 3982492    0    0     0  7088 16357 113374 11  6 82  1  0  0
50  0 1752588 584392 104872 3982552    0    0     0  7064 17631 117344 10  6 83  1  0  0
31  0 1752588 566548 104880 3984024    0    0     0  6648 18640 117179 12  6 81  1  0  0
 1  1 1752588 566980 104880 3983900    0    0     0  7232 16497 115184 11  6 83  1  0  0
47  0 1752588 570228 104880 3983300    0    0     0  6904 17186 117052 10  6 83  1  0  0
54  0 1752588 537516 104880 4007880    0    0     0  6636 18447 117189 13  6 80  1  0  0
52  0 1752332 367548 104920 4040752   24    0   884  6064 20927 120266 28  8 63  1  0  0
21  0 1752332 354784 104960 4068696    8    0  1672  6160 19149 120264 22  6 71  1  0  0
21  0 1752076 324508 104968 4068660  340    0   340  6956 18063 119538 14  6 79  1  0  0
30  0 1752076 356320 104972 4036372    0    0     4  7404 17945 115319 15  7 77  1  0  0
53  0 1752076 356664 104972 4036380    0    0     0  6832 16887 114997 11  6 83  1  0  0
47  0 1752076 350144 104980 4036428    0    0     0  6884 17140 115583 11  6 82  1  0  0
 1  1 1752076 349436 104980 4037252    0    0     0  6764 18412 116045 12  6 81  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1 1752076 353004 104996 4028396    0    0     0  6352 19061 114653 14  7 78  1  0  0
28  1 1752076 354336 104996 4027740    0    0     0  6880 18552 119247 11  6 82  1  0  0
32  0 1752076 386268 104996 4005492    0    0     0  7676 18221 117715 12  5 82  1  0  0
21  0 1752076 413352 105004 3984364    0    0     0  7380 18114 118821 11  6 82  1  0  0
56  0 1752076 489012 105004 3972420    0    0     0  6632 18468 117294 11  7 82  1  0  0
35  0 1752076 470032 105012 3992192    0    0     0  6668 19509 117723 12  6 81  1  0  0
49  0 1752076 464232 105012 3994992    0    0     0  6720 20273 119277 13  7 79  1  0  0
40  0 1752076 433760 105012 4029984    0    0     0  5976 20508 117529 15  7 77  1  0  0
 0  1 1752076 439176 105020 4036396    0    0    16  5660 19999 114755 16  6 76  2  0  0
 0  1 1752076 449436 105020 4024020    0    0     0  7128 18973 118088 11  6 82  1  0  0
49  0 1752076 505900 105028 3966644    0    0     4  6888 19489 119679 12  6 81  1  0  0
34  0 1752076 466952 105028 4010936    0    0     0  6388 19249 119281 13  7 79  1  0  0
18  0 1752076 265636 105028 4171940    0    0    16  6000 18760 112559 17  8 75  1  0  0
17  1 1752076 291832 105052 4135872    0    0   192  6792 18848 118680 11  6 82  1  0  0
51  0 1752076 420084 105052 4022976    0    0     0  6608 18242 116682 12  6 81  1  0  0
30  0 1752076 426272 105060 4024024    0    0     0  7060 18226 116045 12  6 81  1  0  0
46  0 1752076 440500 105060 4022676    0    0    64  6400 19979 118344 12  6 80  1  0  0
24  0 1752076 438672 105060 4020432    0    0     0  6404 19452 119413 13  6 79  1  0  0
 0  1 1752076 436020 105068 4035468    0    0     0  6044 20041 117567 14  7 78  1  0  0
28  0 1752076 433732 105068 4032232    0    0     0  7232 18255 120043 11  7 81  1  0  0
33  0 1752076 494144 105076 3967260    0    0     0  7020 17410 117018 12  5 82  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
33  0 1752076 501340 105076 3963580    0    0     0  7248 18145 119127 11  7 82  1  0  0
 0  1 1752076 502168 105092 3965252    0    0     0  7272 18467 118228 12  6 82  1  0  0
 7  0 1752076 502796 105100 3965168    0    0     0  7444 18716 118446 11  6 82  1  0  0
 3  1 1752076 507292 105100 3963628    0    0     0  6948 18122 118370 11  5 83  1  0  0
49  0 1752076 514124 105100 3959340    0    0     0  7080 18577 118441 11  6 82  1  0  0
46  0 1752076 517292 105116 3959644    0    0     0  7392 17538 117972 12  5 82  1  0  0
41  0 1752076 518684 105116 3959012    0    0     0  6784 17809 117487 11  6 82  1  0  0
29  0 1752076 522240 105124 3959196    0    0     0  6976 17746 118378 12  5 82  1  0  0
 5  1 1752076 520368 105124 3959436    0    0     0  6984 17431 116430 10  6 83  1  0  0
 0  1 1752076 522432 105124 3959440    0    0     0  6936 17311 116425 11  6 83  1  0  0
38  0 1752076 519404 105132 3959996    0    0     0  7100 17538 116245 10  6 82  1  0  0
35  0 1752076 523388 105132 3960132    0    0     0  7264 18160 117811 11  6 82  1  0  0
34  0 1752076 522220 105140 3959604    0    0     0  7144 17866 115564 11  6 82  1  0  0
 0  1 1752076 529492 105140 3959616    0    0     0  6752 18068 117949 10  6 83  1  0  0
38  0 1752076 528540 105148 3959496    0    0     0  7372 17697 117432 11  6 82  1  0  0
41  0 1752076 523228 105148 3959644    0    0     0  6832 17641 116562 12  6 82  1  0  0
39  0 1752076 521060 105148 3959508    0    0     0  7144 17667 117206 11  7 82  1  0  0
 2  0 1752076 524492 105156 3959996    0    0     0  7156 18244 118094 12  6 82  1  0  0
46  0 1752076 525456 105156 3960188    0    0     0  6824 18130 118548 12  6 82  1  0  0
44  0 1752076 518020 105172 3959992    0    0     0  6300 15685 93223  9  6 84  1  0  0
42  0 1752076 516940 105172 3960028    0    0     0  6896 17710 116269 10  6 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
48  0 1752076 517632 105172 3959840    0    0     0  6704 17934 116586 10  6 83  1  0  0
 2  1 1752076 527684 105180 3959724    0    0     0  6776 17081 114266 11  6 83  1  0  0
 2  0 1752076 533628 105180 3959832    0    0     0  6704 18267 116113 11  7 82  1  0  0
27  0 1752076 521496 105204 3953876    0    0     0  7784 19082 120773 11  6 82  1  0  0
 1  0 1752076 528024 105204 3954364    0    0     0  8296 19160 120972 12  6 82  0  0  0
52  0 1752076 527244 105204 3954384    0    0     0  7160 17827 116773 11  6 82  1  0  0
26  0 1752076 527904 105228 3954144    0    0     0  7092 18222 118887 11  5 82  1  0  0
29  0 1752076 527980 105236 3947696    0    0     0  6864 17321 117075 11  6 82  1  0  0
45  0 1752076 537752 105236 3948432    0    0     0  6712 17893 116957 11  5 82  1  0  0
40  0 1752076 539216 105236 3941896    0    0     0  7060 17900 116546 11  6 82  1  0  0
27  0 1752076 549824 105236 3942064    0    0     0  7080 18751 118324 12  6 81  1  0  0
27  0 1752076 544468 105260 3942632    0    0     0  6868 17957 116756 10  6 83  1  0  0
52  0 1752076 538364 105260 3942792    0    0     0  7184 18727 118609 12  6 82  1  0  0
 3  1 1752076 533872 105276 3942244    0    0     0  6932 17809 117597 12  6 82  1  0  0
41  0 1752076 536596 105276 3942416    0    0     0  6856 17876 117653 11  6 82  1  0  0
46  0 1752076 542608 105276 3942400    0    0     0  7312 17902 116756 11  6 82  1  0  0
25  0 1752076 547656 105284 3942664    0    0     0  6936 17754 117081 11  5 83  1  0  0
17  0 1752076 541712 105284 3942580    0    0     0  6800 18387 119314 11  6 83  1  0  0
45  0 1752076 537916 105292 3943036    0    0     0  6960 17920 117942 11  6 83  1  0  0
29  1 1752076 542368 105292 3943224    0    0     0  7328 17879 117053 11  6 81  1  0  0
43  0 1752076 543416 105292 3942880    0    0     0  6760 17688 116620 11  6 82  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0 1752076 544772 105300 3942632    0    0     0  7024 17550 116393 11  6 82  1  0  0
40  0 1752076 540584 105300 3942612    0    0     0  7500 18723 120189 12  6 82  1  0  0
 0  1 1752076 539516 105308 3942688    0    0     0  6788 18151 116909 11  6 83  1  0  0
30  0 1752076 526464 105324 3943096    0    0     0  6748 17925 116975 12  6 81  1  0  0
49  0 1752076 517508 105324 3942952    0    0     0  7332 18192 118244 11  6 82  1  0  0
11  0 1752076 518620 105332 3943332    0    0     0  6720 18458 119264 11  6 83  1  0  0
 6  1 1752076 518476 105332 3943588    0    0     0  6744 17892 117489 11  6 82  1  0  0
35  0 1752076 515152 105332 3942980    0    0     0  7056 17991 117585 11  6 82  1  0  0
19  0 1752076 516992 105340 3943196    0    0     0  6876 18545 119034 11  6 82  1  0  0
32  0 1752076 542644 105340 3922192    0    0     0  6908 17790 117436 11  6 83  1  0  0
