Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

04:17:58 PM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:17:59 PM IST     all      2.43      0.00      1.93      6.80      0.00     88.84
04:18:00 PM IST     all      3.85      0.00      2.43      5.86      0.00     87.87
04:18:01 PM IST     all     11.38      0.00      5.23      0.76      0.00     82.63
04:18:02 PM IST     all     13.14      0.00      5.85      0.76      0.00     80.25
04:18:03 PM IST     all     10.66      0.00      6.01      0.68      0.00     82.66
04:18:04 PM IST     all     11.62      0.00      6.45      3.22      0.00     78.71
04:18:05 PM IST     all     11.96      0.00      6.44      5.18      0.00     76.42
04:18:06 PM IST     all     11.59      0.00      7.05      4.45      0.00     76.91
04:18:07 PM IST     all     12.78      0.00      6.39      3.82      0.00     77.01
04:18:08 PM IST     all     11.30      0.00      5.44      3.91      0.00     79.35
04:18:09 PM IST     all     11.05      0.00      6.41      2.70      0.00     79.83
04:18:10 PM IST     all     11.85      0.00      6.39      2.30      0.00     79.45
04:18:11 PM IST     all     13.45      0.00      5.75      0.85      0.00     79.95
04:18:12 PM IST     all     10.06      0.00      6.68      0.76      0.00     82.50
04:18:13 PM IST     all     10.47      0.00      6.17      0.68      0.00     82.69
04:18:14 PM IST     all     10.56      0.00      6.00      0.84      0.00     82.60
04:18:15 PM IST     all     13.41      0.00      4.84      0.85      0.00     80.90
04:18:16 PM IST     all     10.54      0.00      5.44      0.93      0.00     83.09
04:18:17 PM IST     all     10.56      0.00      6.00      0.84      0.00     82.60
04:18:18 PM IST     all     10.58      0.00      5.92      0.85      0.00     82.66
04:18:19 PM IST     all     10.48      0.00      6.13      0.68      0.00     82.71
04:18:20 PM IST     all     10.72      0.00      6.67      0.68      0.00     81.94
04:18:21 PM IST     all     10.57      0.00      6.05      0.60      0.00     82.78
04:18:22 PM IST     all     10.50      0.00      6.18      0.76      0.00     82.56
04:18:23 PM IST     all     11.14      0.00      6.08      0.59      0.00     82.19
04:18:24 PM IST     all     10.65      0.00      5.58      0.76      0.00     83.01
04:18:25 PM IST     all     11.03      0.00      5.94      0.42      0.00     82.61
04:18:26 PM IST     all     11.04      0.00      6.49      0.42      0.00     82.06
04:18:27 PM IST     all     10.71      0.00      5.95      0.85      0.00     82.48
04:18:28 PM IST     all     10.09      0.00      6.81      0.67      0.00     82.42
04:18:29 PM IST     all     10.48      0.00      5.62      0.77      0.00     83.13
04:18:30 PM IST     all     10.28      0.00      5.98      1.01      0.00     82.73
04:18:31 PM IST     all     10.50      0.00      6.05      0.84      0.00     82.61
04:18:32 PM IST     all     11.45      0.00      6.40      0.84      0.00     81.31
04:18:33 PM IST     all     10.91      0.00      6.35      0.85      0.00     81.90
04:18:34 PM IST     all     10.94      0.00      6.23      0.67      0.00     82.15
04:18:35 PM IST     all     10.60      0.00      6.22      0.76      0.00     82.42
04:18:36 PM IST     all     11.96      0.00      6.82      0.59      0.00     80.62
04:18:37 PM IST     all     10.71      0.00      6.58      0.84      0.00     81.87
04:18:38 PM IST     all     10.77      0.00      6.39      0.67      0.00     82.17
04:18:39 PM IST     all     10.66      0.00      6.09      0.68      0.00     82.57
04:18:40 PM IST     all     13.20      0.00      5.89      0.76      0.00     80.15
04:18:41 PM IST     all     10.96      0.00      5.90      0.67      0.00     82.46
04:18:42 PM IST     all     10.53      0.00      6.74      0.76      0.00     81.97
04:18:43 PM IST     all     10.74      0.00      5.92      0.76      0.00     82.57
04:18:44 PM IST     all      9.87      0.00      6.58      0.68      0.00     82.87
04:18:45 PM IST     all     12.27      0.00      5.88      0.77      0.00     81.09
04:18:46 PM IST     all     11.42      0.00      5.96      0.92      0.00     81.70
04:18:47 PM IST     all     10.06      0.00      5.88      0.77      0.00     83.29
04:18:48 PM IST     all     10.08      0.00      6.72      0.76      0.00     82.44
04:18:49 PM IST     all     13.10      0.00      5.71      0.76      0.00     80.44
04:18:50 PM IST     all     11.65      0.00      5.65      0.76      0.00     81.94
04:18:51 PM IST     all     12.45      0.00      5.30      0.67      0.00     81.58
04:18:52 PM IST     all     10.18      0.00      5.30      0.68      0.00     83.83
04:18:53 PM IST     all     11.58      0.00      5.66      0.68      0.00     82.08
04:18:54 PM IST     all     13.75      0.00      4.92      0.76      0.00     80.56
04:18:55 PM IST     all     11.05      0.00      6.61      0.67      0.00     81.67
04:18:56 PM IST     all     10.67      0.00      5.67      0.68      0.00     82.98
04:18:57 PM IST     all     12.28      0.00      5.80      0.67      0.00     81.24
04:18:58 PM IST     all     11.27      0.00      5.51      0.76      0.00     82.46
04:18:59 PM IST     all     10.80      0.00      6.11      0.59      0.00     82.50
